seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6
30,0.5803709030151367,137.65771484375,41.426334381103516,101.325,0.0,1.0,1.0,101.33179473876953,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.305927276611328,17.19782257080078,0.002682209014892578,0.0,-0.049173831939697266,-0.07642507553100586
31,0.6003456115722656,137.8177032470703,41.47092819213867,101.325,0.0,1.0,1.0,101.24560546875,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.272680282592773,17.169702529907227,0.002682209014892578,0.0,-0.04870295524597168,-0.0762641429901123
32,0.6203382015228271,138.01487731933594,41.462669372558594,101.325,0.0,1.0,1.0,101.69478607177734,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.243663787841797,17.143869400024414,0.002682209014892578,0.0,-0.048536062240600586,-0.0764608383178711
33,0.6403555870056152,138.0291748046875,41.51490020751953,101.325,0.0,1.0,1.0,101.69037628173828,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.218559265136719,17.120277404785156,0.002682209014892578,0.0,-0.04856586456298828,-0.07647871971130371
34,0.6603355407714844,137.86907958984375,41.58795928955078,101.325,0.0,1.0,1.0,101.53408813476562,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19729232788086,17.099166870117188,0.002682209014892578,0.0,-0.04869699478149414,-0.07628798484802246
35,0.6803433895111084,137.81520080566406,41.639251708984375,101.325,0.0,1.0,1.0,101.31438446044922,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1795654296875,17.080520629882812,0.002682209014892578,0.0,-0.048738718032836914,-0.07614493370056152
36,0.7003498077392578,137.77442932128906,41.66958999633789,101.325,0.0,1.0,1.0,101.30818939208984,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.165284156799316,17.06426239013672,0.002682209014892578,0.0,-0.0487208366394043,-0.07655620574951172
37,0.7203009128570557,137.83033752441406,41.69213104248047,101.325,0.0,1.0,1.0,101.47245788574219,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.154221534729004,17.05062484741211,0.002682209014892578,0.0,-0.048995018005371094,-0.07729530334472656
38,0.7403585910797119,138.0906982421875,41.683509826660156,101.325,0.0,1.0,1.0,101.60859680175781,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14604377746582,17.03929901123047,0.002682209014892578,0.0,-0.04946589469909668,-0.07742047309875488
39,0.7602887153625488,138.09593200683594,41.73674011230469,101.325,0.0,1.0,1.0,101.53230285644531,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.140059471130371,17.03028678894043,0.002682209014892578,0.0,-0.04944205284118652,-0.07750988006591797
