seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6,rtt_ms,loop_dt_ms,loop_hz
11,0.2007884979248047,303.54498291015625,101.32205963134766,101.32499694824219,0.0,0.9256494045257568,1.0,101.67344665527344,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.254947662353516,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0014007091522216797,4.140822,4.952978,201.8987364773274
12,0.22072529792785645,302.01513671875,101.34309387207031,101.32499694824219,0.0,0.9257164001464844,1.0,101.35420227050781,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.045509338378906,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0014066696166992188,4.511395,5.239413,190.86107546780528
13,0.24079203605651855,301.0278625488281,101.32438659667969,101.32499694824219,0.0,0.9257838129997253,0.8500000238418579,101.54029083251953,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.808876037597656,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0011980533599853516,4.295305,4.966513,201.34851152106117
14,0.2606968879699707,308.5611572265625,101.29844665527344,101.32499694824219,0.0,0.925851583480835,0.8566291928291321,101.99173736572266,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.55621337890625,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0012099742889404297,4.299455,5.10564,195.86183122977727
15,0.280714750289917,315.4470520019531,101.30377960205078,101.32499694824219,0.0,0.925919771194458,1.0,101.98088836669922,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.287443161010742,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.001049041748046875,4.080188,4.836975,206.7407832374573
16,0.3007221221923828,314.82025146484375,101.3320541381836,101.32499694824219,0.0,0.9259883165359497,1.0,101.75904083251953,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.00295066833496,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0013649463653564453,4.544948,5.270489,189.73571522490607
17,0.32077980041503906,312.99359130859375,101.33035278320312,101.32499694824219,0.0,0.9260571599006653,0.8500000238418579,101.55352020263672,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.708730697631836,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0014901161193847656,3.98734,4.805469,208.0962336870761
18,0.3407249450683594,314.4517822265625,101.32020568847656,101.32499694824219,0.0,0.9261264204978943,1.0,101.71409606933594,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.41254234313965,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0017642974853515625,4.503617,5.181426,192.9970629706957
19,0.36081790924072266,314.4960021972656,101.31277465820312,101.32499694824219,0.0,0.9261960387229919,1.0,102.09222412109375,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.114151000976562,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0021696090698242188,4.336768,5.012921,199.48449217532053
20,0.3807816505432129,313.2208251953125,101.28968048095703,101.32499694824219,0.0,0.9262660145759583,1.0,101.97969055175781,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.81979751586914,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.002497434616088867,4.287939,4.957657,201.70818594348094
21,0.4007904529571533,311.29644775390625,101.31695556640625,101.32499694824219,0.0,0.9263363480567932,0.9109107255935669,101.73460388183594,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.523563385009766,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.002467632293701172,4.452113,5.123493,195.17934346743522
22,0.42078471183776855,313.373779296875,101.32669830322266,101.32499694824219,0.0,0.9264070391654968,0.8500000238418579,101.4428939819336,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.229820251464844,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0024437904357910156,4.394952,5.06921,197.26939700663416
23,0.44072556495666504,320.04974365234375,101.32158660888672,101.32499694824219,0.0,0.9264780282974243,0.9770818948745728,101.72637176513672,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.944515228271484,16.992401123046875,0.0,0.0,-0.058591365814208984,-0.0025510787963867188,4.681422,5.349735,186.92514675960587
24,0.4607846736907959,320.9053955078125,101.28852844238281,101.32499694824219,0.0,0.9265493750572205,0.9770556688308716,102.00115203857422,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.670703887939453,16.991960525512695,0.0,0.0,-0.058591365814208984,-0.002747774124145508,4.448725,5.126329,195.07136588385177
25,0.48072338104248047,318.47198486328125,101.30239868164062,101.32499694824219,0.0,0.9266210198402405,0.8500000238418579,102.11547088623047,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.409873962402344,16.987049102783203,0.0,0.0,-0.058591365814208984,-0.0029921531677246094,4.363789,5.029771,198.81620853116374
26,0.5007848739624023,318.4123840332031,101.3070068359375,101.32499694824219,0.0,0.9266930222511292,0.9241296052932739,101.80290985107422,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.161155700683594,16.9774169921875,0.0,0.0,-0.058591365814208984,-0.0030755996704101562,4.142665,4.919581,203.2693434664456
27,0.5207955837249756,318.312744140625,101.33116149902344,101.32499694824219,0.0,0.9267653822898865,1.0,101.6056137084961,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.929412841796875,16.965866088867188,0.0,0.0,-0.058591365814208984,-0.0031709671020507812,4.277571,5.139054,194.58834252374075
28,0.5407824516296387,316.1718444824219,101.3203353881836,101.32499694824219,0.0,0.9268379211425781,1.0,101.6871566772461,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.706480026245117,16.95374298095703,0.0,0.0,-0.058591365814208984,-0.003415346145629883,4.33631,4.976178,200.95744163492543
29,0.5607113838195801,313.0310363769531,101.30681610107422,101.32499694824219,0.0,0.9269108772277832,0.8500000238418579,102.02391815185547,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.49701690673828,16.94169044494629,0.0,0.0,-0.058591365814208984,-0.003325939178466797,4.308179,5.117809,195.39611579877248
30,0.580751895904541,314.66790771484375,101.2919921875,101.32499694824219,0.0,0.9269840717315674,0.8500000238418579,102.16351318359375,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.29930877685547,16.929649353027344,0.0,0.0,-0.058591365814208984,-0.0035703182220458984,4.246448,5.056827,197.75246414401758
31,0.6007850170135498,317.752197265625,101.30746459960938,101.32499694824219,0.0,0.9270576238632202,1.0,101.87073516845703,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.111328125,16.917598724365234,0.0,0.0,-0.058591365814208984,-0.0036537647247314453,4.264728,4.988107,200.47685424550835
32,0.6207387447357178,321.0879211425781,101.32498168945312,101.32499694824219,0.0,0.9271314144134521,0.9327690005302429,101.65282440185547,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.932418823242188,16.905546188354492,0.0,0.0,-0.058591365814208984,-0.0037789344787597656,4.444981,5.136584,194.68191311579835
33,0.6407301425933838,321.0368957519531,101.32479095458984,101.32499694824219,0.0,0.927205502986908,0.8500000238418579,101.74747467041016,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.763629913330078,16.893505096435547,0.0,0.0,-0.058591365814208984,-0.004088878631591797,4.023983,4.814095,207.72336233497677
34,0.6607100963592529,320.58282470703125,101.29778289794922,101.32499694824219,0.0,0.9272798895835876,0.8831349611282349,101.98767852783203,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.60275650024414,16.881454467773438,0.0,0.0,-0.058591365814208984,-0.004500150680541992,4.438216,5.079099,196.8853137141056
35,0.6807777881622314,320.2855224609375,101.29259490966797,101.32499694824219,0.0,0.9273545145988464,1.0,101.95573425292969,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.450454711914062,16.869413375854492,0.0,0.0,-0.058591365814208984,-0.004941225051879883,4.236116,5.03389,198.65352639807384
36,0.7007782459259033,318.4395751953125,101.32085418701172,101.32499694824219,0.0,0.9274294376373291,1.0,101.71636199951172,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.305950164794922,16.85736083984375,0.0,0.0,-0.058591365814208984,-0.005120038986206055,4.095556,4.894457,204.31275624650496
37,0.7205510139465332,315.39910888671875,101.3352279663086,101.32499694824219,0.0,0.9275041222572327,1.0,101.54779815673828,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.168441772460938,16.84531021118164,0.0,0.0,-0.058591365814208984,-0.005131959915161133,4.519496,5.105281,195.87560410484753
38,0.7407383918762207,312.50628662109375,101.32774353027344,101.32499694824219,0.0,0.9275795221328735,0.8500000238418579,101.69287872314453,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.036190032958984,16.833187103271484,0.0,0.0,-0.058591365814208984,-0.005090236663818359,4.283444,4.880683,204.88935667405565
39,0.7603409290313721,315.21112060546875,101.29547119140625,101.32499694824219,0.0,0.9276551008224487,0.8500000238418579,102.02189636230469,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.912105560302734,16.82124137878418,0.0,0.0,-0.058591365814208984,-0.0047206878662109375,4.710124,5.003581,199.85686251506672
40,0.7804129123687744,320.86871337890625,101.28240203857422,101.32499694824219,0.0,0.9277310371398926,1.0,102.2873764038086,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.792598724365234,16.809295654296875,0.0,0.0,-0.058591365814208984,-0.004351139068603516,4.459762,5.064021,197.47153497191263
41,0.8005936145782471,321.49871826171875,101.30781555175781,101.32499694824219,0.0,0.9278073310852051,0.976239025592804,101.8497543334961,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.67763328552246,16.797374725341797,0.0,0.0,-0.058591365814208984,-0.004315376281738281,4.023396,4.783876,209.0355184791579
42,0.8207533359527588,319.278076171875,101.34811401367188,101.32499694824219,0.0,0.9278839826583862,0.8500000238418579,101.46864318847656,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56875991821289,16.78584861755371,0.0,0.0,-0.058591365814208984,-0.004017353057861328,4.422949,5.063374,197.49676796539225
43,0.8407793045043945,319.46929931640625,101.33489227294922,101.32499694824219,0.0,0.9279605150222778,0.9026142358779907,101.66950988769531,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.46287727355957,16.774677276611328,0.0,0.0,-0.058591365814208984,-0.003916025161743164,4.361176,5.160594,193.77614282386872
44,0.8607087135314941,319.0912780761719,101.29698181152344,101.32499694824219,0.0,0.9280372858047485,1.0,102.16244506835938,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.360191345214844,16.763866424560547,0.0,0.0,-0.058591365814208984,-0.0038683414459228516,4.223909,4.926884,202.9680422758076
45,0.8807559013366699,317.25738525390625,101.29183959960938,101.32499694824219,0.0,0.9281142950057983,1.0,102.21382141113281,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.262964248657227,16.753494262695312,0.0,0.0,-0.058591365814208984,-0.003981590270996094,4.451,5.152288,194.0885292126527
46,0.9007165431976318,313.84783935546875,101.3194808959961,101.32499694824219,0.0,0.9281914234161377,1.0,101.76667022705078,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.169658660888672,16.743314743041992,0.0,0.0,-0.058591365814208984,-0.004172325134277344,4.204971,5.007394,199.70467672406048
47,0.9207470417022705,311.52349853515625,101.33445739746094,101.32499694824219,0.0,0.9282687306404114,0.8500000238418579,101.46971893310547,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.082731246948242,16.733800888061523,0.0,0.0,-0.058591365814208984,-0.0040531158447265625,4.060629,4.979435,200.82599732700598
48,0.9406533241271973,316.6857604980469,101.3202896118164,101.32499694824219,0.0,0.9283460378646851,0.8630582690238953,101.7593994140625,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.998558044433594,16.724788665771484,0.0,0.0,-0.058591365814208984,-0.0040590763092041016,4.384653,4.975622,200.97989758868337
49,0.9607627391815186,321.99237060546875,101.2912368774414,101.32499694824219,0.0,0.9284238815307617,1.0,102.15552520751953,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.917829513549805,16.71645736694336,0.0,0.0,-0.058591365814208984,-0.0038623809814453125,4.401813,5.105644,195.86167778246977
50,0.9807662963867188,320.9197082519531,101.28921508789062,101.32499694824219,0.0,0.9285017251968384,0.96187824010849,102.044189453125,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.839460372924805,16.7086238861084,0.0,0.0,-0.058591365814208984,-0.0040471553802490234,4.143408,5.051256,197.97056415275725
51,1.000525951385498,318.58251953125,101.32251739501953,101.32499694824219,0.0,0.9285795092582703,0.8500000238418579,101.76654815673828,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.76433563232422,16.701412200927734,0.0,0.0,-0.058591365814208984,-0.0041544437408447266,4.464649,5.005176,199.7931741061653
52,1.020768404006958,318.45709228515625,101.35082244873047,101.32499694824219,0.0,0.9286577701568604,0.9748142957687378,101.59786987304688,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.69241714477539,16.694854736328125,0.0,0.0,-0.058591365814208984,-0.004088878631591797,4.601318,5.306807,188.4372278848656
53,1.0407872200012207,317.25701904296875,101.34027862548828,101.32499694824219,0.0,0.9287360310554504,1.0,101.78538513183594,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.623584747314453,16.688610076904297,0.0,0.0,-0.058591365814208984,-0.004136562347412109,4.440833,5.044365,198.24100754009672
54,1.0607330799102783,314.99273681640625,101.29732513427734,101.32499694824219,0.0,0.9288142919540405,1.0,102.19510650634766,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55779266357422,16.682374954223633,0.0,0.0,-0.058591365814208984,-0.0039637088775634766,4.476528,5.193296,192.5559413520816
55,1.0807514190673828,311.97271728515625,101.31951904296875,101.32499694824219,0.0,0.9288927912712097,0.8735827803611755,102.18580627441406,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.493812561035156,16.676128387451172,0.0,0.0,-0.058591365814208984,-0.004106760025024414,4.304661,5.102815,195.97026347222075
56,1.1007955074310303,313.89532470703125,101.33032989501953,101.32499694824219,0.0,0.9289713501930237,0.8500000238418579,101.8855209350586,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.432218551635742,16.669904708862305,0.0,0.0,-0.058591365814208984,-0.004112720489501953,4.182778,5.007423,199.70352015397938
57,1.1207919120788574,319.4040832519531,101.34515380859375,101.32499694824219,0.0,0.9290499687194824,1.0,101.63672637939453,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.372554779052734,16.663955688476562,0.0,0.0,-0.058591365814208984,-0.004160404205322266,4.322806,5.286492,189.1613569073783
58,1.1406447887420654,321.6092224121094,101.32701873779297,101.32499694824219,0.0,0.9291284680366516,1.0,101.86060333251953,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.315143585205078,16.658126831054688,0.0,0.0,-0.058591365814208984,-0.004094839096069336,4.143866,4.954802,201.82441195430212
59,1.160797119140625,318.7890930175781,101.30221557617188,101.32499694824219,0.0,0.9292075634002686,0.8500000238418579,102.10939025878906,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26058006286621,16.652606964111328,0.0,0.0,-0.058591365814208984,-0.004112720489501953,4.609191,5.321869,187.90391120112125
60,1.1806669235229492,318.65283203125,101.30763244628906,101.32499694824219,0.0,0.9292862415313721,0.8844689726829529,101.96133422851562,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.20879554748535,16.647541046142578,0.0,0.0,-0.058591365814208984,-0.00400543212890625,4.070593,4.803476,208.1825744523341
61,1.2007806301116943,318.9027099609375,101.32549285888672,101.32499694824219,0.0,0.9293652772903442,1.0,101.7124252319336,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.159252166748047,16.642845153808594,0.0,0.0,-0.058591365814208984,-0.003898143768310547,4.328092,4.961199,201.5641783367287
62,1.2208096981048584,317.1232604980469,101.33258056640625,101.32499694824219,0.0,0.9294443130493164,1.0,101.63744354248047,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.111282348632812,16.63837432861328,0.0,0.0,-0.058591365814208984,-0.003981590270996094,4.530834,5.208605,191.98998580234053
63,1.2406857013702393,314.42864990234375,101.34099578857422,101.32499694824219,0.0,0.9295229911804199,1.0,101.73638916015625,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.065231323242188,16.63434600830078,0.0,0.0,-0.058591365814208984,-0.003916025161743164,4.28806,5.031446,198.7500213656273
64,1.2607479095458984,311.50469970703125,101.29944610595703,101.32499694824219,0.0,0.9296021461486816,0.8500000238418579,102.04037475585938,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.020957946777344,16.630767822265625,0.0,0.0,-0.058591365814208984,-0.004041194915771484,4.333703,5.168019,193.4977406236316
