curr_time,press_pos,press_neg,act_pos_press,act_neg_press,ref_act_pos,ref_act_neg,ctrl_ch_pos,ctrl_ch_neg,ctrl_act_pos_in,ctrl_act_pos_out,ctrl_act_neg_in,ctrl_act_neg_out
0.019999999999999823,102.80046083479571,95.4254319107495,101.325,101.32455785114277,130.0,70.0,0.8805712193250655,0.8751642301678657,0.9472319394582882,0.8975618958473205,0.9891093373298645,0.8932447620434686
0.019999999999999823,102.80046083479571,95.4254319107495,101.325,101.32455785114277,130.0,70.0,0.8804489821195602,0.8749257504940032,0.9479104429949075,0.8974629893898963,0.9888987302780151,0.8942084954585879
0.019999999999999823,102.80046083479571,95.4254319107495,101.325,101.32455785114277,130.0,70.0,0.8804035723209381,0.8749504894018173,0.9491827964782714,0.8970373630523681,0.9888662666082382,0.8949979300610721
0.019999999999999823,102.80046083479571,95.4254319107495,101.325,101.32455785114277,130.0,70.0,0.8803567051887512,0.8749948665499687,0.9506787301041185,0.8964416891336441,0.9888105481863021,0.8957166525535285
0.019999999999999823,102.80046083479571,95.4254319107495,101.325,101.32455785114277,130.0,70.0,0.8803289443254471,0.8750670582056045,0.9523230080492794,0.895746523141861,0.9887265145778655,0.8964119149371982
0.03999999999999961,105.17144337325857,90.15283477766722,101.32877009906858,101.30866355898564,130.0,70.0,0.8803191676735878,0.8751370728015899,0.9538758492097258,0.8951448187232017,0.9886311441659927,0.897144696675241
0.060000000000000185,107.72608159438089,85.28039249086473,101.35640776616113,101.2219899508326,130.0,70.0,0.8799907267093658,0.8751560494303703,0.9561216147616506,0.8934919834136963,0.9885851442813873,0.8974294567480683
0.07999999999999834,110.2356547424339,80.75004652139643,101.43400229639867,101.02465389135111,130.0,70.0,0.8799189105629921,0.8752161845564842,0.9581440534442663,0.8922543495893478,0.9885891675949097,0.89804503377527
0.09999999999999613,112.6255978152133,76.53170473180118,101.58708325433999,100.70731695140098,130.0,70.0,0.8798541262745857,0.8753072276711463,0.960385312885046,0.8910232961177825,0.9885710179805756,0.8986187487840652
0.11999999999999393,114.8748899576772,72.60172572741698,101.83853919991144,100.28458011458845,130.0,70.0,0.8797519922256469,0.8754295989871025,0.9629221182316541,0.8894810661673546,0.9884066343307495,0.8990135934203863
0.13999999999999174,116.98084103960788,68.93709418308413,102.20748465692448,99.78565592729196,130.0,70.0,0.8796180516481399,0.8756342515349388,0.9660123102366924,0.8874441787600517,0.9880797982215881,0.8991400741040706
0.15999999999998954,118.94286529849731,65.51393625855869,102.70884798631448,99.2459943696585,130.0,70.0,0.879617327451706,0.8759674847126007,0.9693505004048347,0.8852647811174392,0.9878179967403411,0.8992799300700426
0.17999999999998734,120.76887557186471,62.309834966478846,103.35411059262545,98.70161602664912,130.0,70.0,0.879657918214798,0.8764456063508987,0.9729250624775886,0.8828830197453499,0.9873841226100921,0.8992446422576904
0.19999999999998513,122.46221196993241,59.30537105988627,104.15128382089256,98.18354320448422,130.0,70.0,0.8797556042671203,0.877095478773117,0.9766012959182262,0.8804353609681129,0.9867804735898971,0.8990616630762815
0.21999999999998293,124.02782285254892,56.48453388301593,105.10539566479477,97.71578960131887,130.0,70.0,0.8799046233296394,0.8779272675514221,0.9802304845303297,0.8780550882220268,0.986001032590866,0.898757990077138
0.23999999999998073,125.47305323583268,53.83177289008195,106.2194051023244,97.31573618131199,130.0,70.0,0.8801017567515373,0.8789299979805946,0.9835752394050359,0.8759016185998917,0.9849931299686432,0.8984231051057577
0.25999999999998963,126.80411083419372,51.334894606478116,107.49522445331864,96.99515058718282,130.0,70.0,0.8796379491686821,0.8793566167354584,0.9864499270915985,0.8734934017062187,0.983574366569519,0.8976379722356796
0.28000000000000963,128.02348202964242,48.983174894128744,108.93402913112283,96.76063752116092,130.0,70.0,0.8790267273783684,0.8796126246452332,0.9888679955154657,0.871333159506321,0.9820732772350311,0.8968882288783788
0.30000000000002963,129.1390281588698,46.766089037247845,110.53616229114432,96.61415457268399,130.0,70.0,0.8784962892532349,0.8799425452947617,0.9909298866987228,0.8695427581667899,0.9805387318134308,0.8963173765689134
0.32000000000004963,130.15750829254236,44.675264200380035,112.30063110261229,96.55263369755683,130.0,70.0,0.8769694685935974,0.8796300768852233,0.9925910390913486,0.8677038490772248,0.9789198577404021,0.8957272749394178
0.34000000000006964,131.0836132923606,42.70340403153543,114.22427944283402,96.57036878345033,130.0,70.0,0.8754277661442756,0.8788221642374993,0.9937321960926055,0.8660840407013893,0.976455569267273,0.8965845558792352
0.36000000000008964,131.9211748914173,40.8430356989638,116.30080441546824,96.65994766116386,130.0,70.0,0.8743339076638221,0.8777215287089347,0.9927813854068517,0.8655708536505698,0.9727232038974761,0.8992695175111294
0.38000000000010964,132.67762197527492,39.08739040220286,118.51993886811732,96.81287017217291,130.0,70.0,0.8735041216015815,0.8767230540513992,0.9905374482274055,0.8657092824578285,0.9683758080005646,0.9025413073599339
0.40000000000012964,133.36095558236184,37.42992618489077,120.86685207440537,97.0198170972054,130.0,70.0,0.8728131353855133,0.8759000808000564,0.9880947303026915,0.86589445322752,0.9638072550296783,0.905759647488594
0.42000000000014964,133.9761870583753,35.864220958009454,123.32187801888439,97.27078673820925,130.0,70.0,0.8721987619996071,0.8751765012741088,0.9854443121701478,0.8661073982715607,0.9590212285518646,0.9090375125408172
0.44000000000016964,134.53190718550243,34.383553597711824,125.86043958000744,97.55632031758942,130.0,70.0,0.8716595441102981,0.8745475098490715,0.9826266337186098,0.8663433119654655,0.9541073501110077,0.9123432546854019
0.46000000000018965,135.03294224414688,32.982702018403565,128.45275577813786,97.8659633283192,130.0,70.0,0.8711562991142273,0.8740037858486175,0.9795705437660217,0.8665676653385163,0.9491891175508499,0.9156491108238697
0.48000000000020965,135.49007394575378,31.660426683229687,131.06299686076233,98.17504772032233,130.0,70.0,0.8703355252742767,0.8735137462615966,0.9749721970409154,0.8664884775876999,0.9446085393428802,0.9189729735255241
