curr_time,press_pos,press_neg,act_pos_press,act_neg_press,ref_act_pos,ref_act_neg,ctrl_ch_pos,ctrl_ch_neg,ctrl_act_pos_in,ctrl_act_pos_out,ctrl_act_neg_in,ctrl_act_neg_out,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6
0.019999999999999823,102.8004608144727,95.42541736058126,101.325,101.32459955728419,116.93720948047068,73.96230188034994,0.85,0.85,0.9636594831943511,0.8885821864008904,0.9121104970574379,0.9947190165519714,,,,,,
0.019999999999999823,102.8004608144727,95.42541736058126,101.325,101.32459955728419,116.93720948047068,73.96230188034994,0.85,0.85,0.9634297341108322,0.8868292957544327,0.912970757484436,0.9948004931211472,,,,,,
0.019999999999999823,102.8004608144727,95.42541736058126,101.325,101.32459955728419,116.93720948047068,73.96230188034994,0.85,0.85,0.9633048236370086,0.8868749916553497,0.9130845323204994,0.9948498547077178,,,,,,
0.019999999999999823,102.8004608144727,95.42541736058126,101.325,101.32459955728419,116.93720948047068,73.96230188034994,0.85,0.85,0.9631238818168639,0.8866092696785927,0.9132635653018951,0.9949619352817535,,,,,,
0.019999999999999823,102.8004608144727,95.42541736058126,101.325,101.32459955728419,116.93720948047068,73.96230188034994,0.85,0.85,0.9629071772098541,0.88610720038414,0.9135403826832771,0.9950936317443847,,,,,,
0.03999999999999961,105.17145306460577,90.16747186209525,101.33052682886849,101.26617223457518,116.93720948047068,73.96230188034994,0.85,0.85,0.9626850813627242,0.8855265021324158,0.9139261156320572,0.9951945900917053,,,,,,
0.060000000000000185,107.72652591586186,85.38599923170506,101.37105356855822,100.9097945555564,116.93720948047068,73.96230188034994,0.85,0.85,0.9626681119203567,0.8875421106815338,0.9143462657928466,0.9946940720081329,,,,,,
0.07999999999999834,110.23856667004421,81.06323151531755,101.48436860452117,100.08095114889711,116.93720948047068,73.96230188034994,0.85,0.85,0.9626662790775299,0.8893894642591477,0.9144312605261803,0.9940339624881744,,,,,,
0.09999999999999613,112.63602184594258,77.17292437233455,101.70601948258044,98.73446401462381,116.93720948047068,73.96230188034994,0.85,0.85,0.9625159233808517,0.8904510736465454,0.9155928403139114,0.9933239638805389,,,,,,
0.11999999999999393,114.90164183141418,73.66966495341977,102.06562902212615,96.92305575225987,116.93720948047068,73.96230188034994,0.85,0.85,0.962171071767807,0.8903603345155716,0.9179312974214554,0.9926843017339706,,,,,,
