real_time,sim_time,real_press_pos,sim_press_pos,real_press_neg,sim_press_neg,real_act_pos,sim_act_pos,real_act_neg,sim_act_neg,real_total_length_mm,sim_total_length_mm,real_flow1,sim_flow1,real_flow2,sim_flow2,real_flow3,sim_flow3,real_flow4,sim_flow4,real_flow5,sim_flow5,real_flow6,sim_flow6
0.020135402679443398,0.019999999999999934,139.1025390625,137.644140357593,38.57558822631836,39.022151877105884,108.91028594970705,107.88166116897932,90.78675842285156,93.77038665833548,34.903392582079306,34.67610843442244,16.867219924926758,2.5953493733071678e-163,17.301631927490234,0.0,12.281131744384766,0.0,8.3118257522583,0.0,8.162426948547363,0.0,12.93448257446289,0.0
0.040120601654052804,0.04000000000000012,140.15467834472656,138.64522590687045,37.52225875854492,37.00176170195572,110.4517822265625,108.93883734469308,90.91571807861328,91.78998310897947,35.25937583361999,35.41343460707126,16.86056900024414,1.0129627413952687e-162,17.291950225830078,0.0,12.273687362670898,0.0,8.307558059692383,0.0,8.159494400024414,0.0,12.930804252624512,0.0
0.060085773468017606,0.06000000000000069,139.58938598632812,139.65705901938054,38.28053283691406,35.126426312005286,109.8585968017578,108.52986124349307,91.03607177734376,92.07982670808549,35.69886132934922,35.799164403315565,16.83846664428711,0.3510382075278353,17.26694107055664,0.4276315327679277,12.257015228271484,0.2706404299570434,8.2958402633667,0.14810045989066145,8.150071144104004,0.14377423798485997,12.918323516845703,0.2506598395060857
0.0801324844360352,0.08000000000000126,139.0957489013672,140.57848974784216,39.15039825439453,33.46412866866777,110.59960174560548,107.18072664974459,91.11314392089844,93.71229037649549,35.71644074917839,35.83081305696964,16.798078536987305,1.283898543222034,17.222522735595703,1.5414424976888015,12.225419044494627,0.9963633018139436,8.274984359741211,0.5240084496425885,8.13199234008789,0.5116124203826004,12.89185905456543,0.9188354239991532
0.100118637084961,0.10000000000000184,138.334716796875,141.35805200947314,39.794677734375,32.07652481416941,109.80721282958984,108.43879111187698,91.17193603515624,91.85506752464882,35.28574496336374,36.44235401752781,16.73516082763672,2.6319969649058854,17.154693603515625,3.111827979169265,12.17772388458252,2.054721518632233,8.243316650390625,1.040980453779658,8.104109764099121,1.0221867019102184,12.850004196166992,1.8861954960523568
0.1201505661010742,0.12000000000000241,137.76119995117188,141.976662975669,40.23460006713867,30.995782820220562,109.37722778320312,107.02529640898608,91.2326202392578,93.57716775116401,34.96931540643869,36.37639169595112,16.65432357788086,4.248525513952797,17.069089889526367,4.943966883971562,12.11532974243164,3.327465131875913,8.20290470123291,1.6571702479298884,8.0674409866333,1.634703980965201,12.794029235839844,3.035525468495133
0.14014124870300299,0.1400000000000009,137.591552734375,142.4234233828618,40.49422073364258,30.23026014394228,109.96302032470705,107.48051683513846,91.28237915039062,92.94280535453457,35.000079391139735,36.604068199976055,16.557538986206055,6.007938403006701,16.9675235748291,6.878923144284054,12.0436372756958,4.721323446877581,8.154481887817383,2.3053327089038347,8.023059844970703,2.285358683022692,12.727898597717283,4.282820746750164
0.1601321697235108,0.1599999999999987,137.8696746826172,142.7008306380674,40.99533081054688,29.769806323910938,109.37078857421876,107.55309535602352,91.2984848022461,92.83688757748378,35.12753018490122,36.71537144474592,16.45197868347168,7.806288957925314,16.85751724243164,8.792649654177293,11.967164039611816,6.1520872659383965,8.100282669067383,2.9552405235034716,7.973355293273926,2.9423363200239896,12.656289100646973,5.550326739635119
0.1801085472106934,0.1799999999999965,137.94192504882812,142.8186378135112,41.35359954833984,29.59016699394496,110.64883422851562,106.9478728615805,91.28321075439452,93.68056079814927,35.092371345242874,36.558830179439205,16.34595489501953,9.560660117740401,16.747236251831055,10.593474612696276,11.890548706054688,7.553033133630062,8.044809341430664,3.579139263669411,7.921493053436279,3.5766274122788837,12.58346462249756,6.779518791095481
0.20010137557983398,0.1999999999999943,137.56808471679688,142.79174959235075,41.54072570800781,29.65880466717882,110.14934539794922,107.91362569778276,91.25416564941406,92.53741859287902,34.86823374242096,36.69600412622868,16.239940643310547,11.207900985517188,16.63720703125,12.218580630582462,11.816204071044922,8.874409438644951,7.989358901977539,4.150031428088972,7.869619369506836,4.160156297870279,12.51220703125,7.930306631461025
