curr_time,press_pos,press_neg,act_pos_press,act_neg_press,ref_act_pos,ref_act_neg,ref_ch_pos,ref_ch_neg,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,raw_ctrl1,raw_ctrl2,raw_ctrl3,raw_ctrl4,raw_ctrl5,raw_ctrl6,controller,ch_pos_u_eff,ch_pos_current,ch_pos_state_curr,ch_pos_z,ch_pos_force_net,ch_pos_area_eff,ch_pos_q_static_lpm,ch_pos_q_pred_lpm,ch_pos_mdot,ch_neg_u_eff,ch_neg_current,ch_neg_state_curr,ch_neg_z,ch_neg_force_net,ch_neg_area_eff,ch_neg_q_static_lpm,ch_neg_q_pred_lpm,ch_neg_mdot,act_pos_in_u_eff,act_pos_in_current,act_pos_in_state_curr,act_pos_in_z,act_pos_in_force_net,act_pos_in_area_eff,act_pos_in_q_static_lpm,act_pos_in_q_pred_lpm,act_pos_in_mdot,act_pos_out_u_eff,act_pos_out_current,act_pos_out_state_curr,act_pos_out_z,act_pos_out_force_net,act_pos_out_area_eff,act_pos_out_q_static_lpm,act_pos_out_q_pred_lpm,act_pos_out_mdot,act_neg_in_u_eff,act_neg_in_current,act_neg_in_state_curr,act_neg_in_z,act_neg_in_force_net,act_neg_in_area_eff,act_neg_in_q_static_lpm,act_neg_in_q_pred_lpm,act_neg_in_mdot,act_neg_out_u_eff,act_neg_out_current,act_neg_out_state_curr,act_neg_out_z,act_neg_out_force_net,act_neg_out_area_eff,act_neg_out_q_static_lpm,act_neg_out_q_pred_lpm,act_neg_out_mdot
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,0.0,0.0,101.325,15.0,0.85,0.85,0.85,1.0,0.85,1.0,0.0,0.0,0.0,1.0,0.0,1.0,pid,0.7,0.21,1.0,6095.677487466,0.034177403401742856,0.0127975423914732,0.22116895965540337,0.0016637688983178532,3.3389576744649164e-08,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.0036391098282559987,4.543316768037941e-05,9.117818229144043e-10,0.7,0.21,1.0,133576.04240694,0.1290320558432656,1.9753094484139846e-13,3.41375806650419e-12,3.17596660339693e-14,6.373732598907221e-19,1.0,0.3,1.0,8.897708088659999e-10,0.20484713280057604,0.15031668560405084,0.0,0.0,0.0,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,8.505948569958876e-05,3.861686417776327e-07,7.749878912899281e-12,1.0,0.3,1.0,159.24783703109998,0.2868897644958297,0.1886573810446185,6.297893380922866,0.3673523797332969,7.372262150011126e-06
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,116.93720948047068,73.96230188034994,151.9372094804707,38.96230188034994,0.85,0.85,0.9906972318380017,0.85,0.85,0.85,0.0,0.0,0.9379815455866785,0.0,0.0,0.0,pid,0.7,0.21,1.0,6095.677487466,0.03416391952275363,0.01278451970806497,0.35644889588412043,0.011586156800524217,2.325183936649929e-07,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.004848049821061844,0.0002302536335442197,4.620876959373409e-09,0.9813944636760035,0.294418339102801,1.0,52408.79020249072,0.21511828540497557,0.13199819555404993,3.6768654239132106,0.06073955633706142,1.218960205232063e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11484517328317899,0.0002654866810664616,0.00032591457544602764,1.6927791543839898e-06,3.3971773089515046e-11,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.00023764370748210093,4.633186781249766e-06,9.298175110812687e-11,0.7,0.21,0.0,142.64762548120137,0.1948586597571198,0.005275363402139518,0.2329675978976814,1.0960840871047617,2.199691542615997e-05
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,117.0,74.0,152.0,39.0,0.85,0.85,0.8743588754102355,0.85,0.85,0.9524618651114226,0.0,0.0,0.1623925027349034,0.0,0.0,0.6830791007428179,pid,0.7,0.21,1.0,6095.677487466,0.03414938516588539,0.012770492663457278,0.4589491410571479,0.0334968682136043,6.722365426197956e-07,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.005629888968555759,0.0005676270671668818,1.139150247409415e-08,0.748717750820471,0.22461532524614128,0.0,-34122.66223592653,0.14708963049912332,1.0730687987830518e-05,0.00038420253293920307,0.16837641070453274,3.3790853362457252e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11483365229707594,0.00026456127615021925,0.0008518421470087713,1.7881367947327914e-05,3.588547111201931e-10,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.0003965194561629962,1.7910311072612825e-05,3.5943556024167113e-10,0.9049237302228452,0.27147711906685357,1.0,117.02297671894732,0.2532187066854631,0.14297429684140062,7.267180092226791,2.1104116061608837,4.2353087834465015e-05
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,117.0,74.0,152.0,39.0,0.85,0.85,0.8740760465137656,0.85,0.85,0.9528101179985925,0.0,0.0,0.16050697675843761,0.0,0.0,0.6854007866572834,pid,0.7,0.21,1.0,6095.677487466,0.034135067618495496,0.012756685192049687,0.5406580832014175,0.06812701011799738,1.3672163453819952e-06,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.006179394414258752,0.0010412275617100327,2.0896019642818922e-08,0.7481520930275312,0.22444562790825934,0.0,-34161.348231559976,0.1465830997399432,8.055381910357695e-06,0.0003391635485291674,0.24392042925013604,4.895150943300807e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11481318579140838,0.0002629240575162911,0.0013433803283819223,6.597695105726971e-05,1.324067587110172e-09,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.0005836426111520731,4.441704142722008e-05,8.913895523614333e-10,0.905620235997185,0.27168607079915547,1.0,116.97145227549207,0.25355534700133586,0.14368259959009577,7.91098144410376,3.62220180544153,7.26926589922894e-05
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,117.0,74.0,152.0,39.0,0.85,0.85,0.8742641465137656,0.85,0.85,0.9528756349883869,0.0,0.0,0.16176097675843762,0.0,0.0,0.685837566589246,pid,0.7,0.21,1.0,6095.677487466,0.03412134792528834,0.012743463894223688,0.6082526502286631,0.11457290155012462,2.299322155278186e-06,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.006577116381232091,0.0016227029520566106,3.256543911010886e-08,0.7485282930275312,0.22455848790825936,1.0,-34045.158636555,0.14636944141164282,7.1194224061858155e-06,0.00033676946504487094,0.2916168238170221,5.852352648684448e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11478671961007521,0.00026081959676155225,0.0017777006350471831,0.0001572606455479295,3.1560070624859795e-09,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.0007884096777757071,8.786589576189717e-05,1.7633489078593914e-09,0.9057512699767738,0.2717253809930321,1.0,116.9617724116348,0.25380279413830736,0.14419955175114937,8.302497891861522,5.244030946974388,0.00010524056191478674
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,117.0,74.0,152.0,39.0,0.85,0.85,0.8744522465137656,0.85,0.85,0.9529411519781813,0.0,0.0,0.16301497675843762,0.0,0.0,0.6862743465212086,pid,0.7,0.21,1.0,6095.677487466,0.03410830521627531,0.012730903714271654,0.66577226279282,0.17102126014225394,3.4321638637792786e-06,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.006868844433661133,0.002279236581330581,4.574117524885373e-08,0.7489044930275313,0.22467134790825938,1.0,-33929.12006170048,0.1461717582091553,6.341874357261454e-06,0.0003280515874461739,0.31590613106836135,6.339805977907589e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11475677220843115,0.00025845551403227024,0.0021543212102168394,0.00029619080148169665,5.944146153429831e-09,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.0009953126443170734,0.00015111352810995637,3.0326427841531584e-09,0.9058823039563626,0.27176469118690877,1.0,116.95209507564475,0.2541236247283791,0.14486516548477685,8.527887220475316,6.698724800326362,0.00013443428714043153
0.03999999999999961,105.17155270950585,90.2172953072051,101.33243680190188,101.11968496044004,117.0,74.0,152.0,39.0,0.85,0.85,0.8746403465137657,0.85,0.85,0.9530066689679757,0.0,0.0,0.16426897675843763,0.0,0.0,0.6867111264531711,pid,0.7,0.21,1.0,6095.677487466,0.03409591105588547,0.012718975969609747,0.7158208853461471,0.23521877540648506,4.720520597035945e-06,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.007084139808403081,0.0029779466185729264,5.976333447682542e-08,0.7492806930275313,0.2247842079082594,1.0,-33813.23231070442,0.14598937927486855,5.693307684198106e-06,0.00031647935007382945,0.32118996854516707,6.445845402683729e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11472542688711791,0.00025600050887832624,0.00247635882789702,0.0004817413767369833,9.667893591408798e-09,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.0011932401419158408,0.00023560947737118925,4.728361453568343e-09,0.9060133379359514,0.2718040013807854,1.0,116.94242026686179,0.25450590449951,0.14565141873631038,8.636519466574002,7.834661052572496,0.00015723098126649006
0.060000000000000185,107.72733851490274,85.43642609487311,101.37616060226732,100.75115274130175,116.93720948047068,73.96230188034994,151.9372094804707,38.96230188034994,0.85,0.85,0.8741955578930277,0.85,0.85,0.9514815166772149,0.0,0.0,0.16130371928685172,0.0,0.0,0.676543444514766,pid,0.7,0.21,1.0,6095.677487466,0.03408414422899897,0.012707659055774615,0.7600044355496022,0.3047829341025402,6.116578557854458e-06,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.007242780533349806,0.003688551069950768,7.402419840351537e-08,0.7483911157860554,0.22451733473581661,0.0,-33875.059171400215,0.14544641556417987,4.101121330982053e-06,0.00024201084140301345,0.3116522824914915,6.2544370281327045e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11469434433176905,0.0002535855872367069,0.002748328857576441,0.0007088451292102295,1.4225556725916193e-08,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.0013761295986671137,0.00034119574546025177,6.8473341096296965e-09,0.9029630333544298,0.2708889100063289,0.0,116.68942940513081,0.253949673345147,0.14450492692365882,8.544103299379262,8.682014929326396,0.0001742362199906636
0.07999999999999834,110.24499514940851,81.05731181819093,101.4538339709487,100.07270403787058,116.8746667664357,73.92460971366998,151.8746667664357,38.92460971366998,0.85,0.85,0.8739518462481278,0.85,0.85,0.9488841697970937,0.0,0.0,0.15967897498751882,0.0,0.0,0.6592277986472912,pid,0.7,0.21,1.0,6095.677487466,0.03407294986587947,0.012696899139841204,0.7995288557083386,0.37740492377800644,7.574003023517749e-06,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.007358229025517465,0.0043848879807190395,8.799873221391195e-08,0.7479036924962557,0.2243711077488767,0.0,-33908.82764367418,0.14503691708730265,3.1801458452078234e-06,0.0001974598308097025,0.2911335318903912,5.8426536376675766e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11466479026005343,0.00025130732008967144,0.0029753002943954166,0.0009697352360692016,1.9461265996413196e-08,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.0015427076672678923,0.0004662357988881847,9.35671775318028e-09,0.8977683395941873,0.2693305018782562,0.0,116.25772632941602,0.25276291742350576,0.14200608986175278,8.311818352599136,9.322374620116246,0.00018708736720313105
0.09999999999999613,112.6575212980272,77.06406216715068,101.55427699761199,99.013607092881,116.81261868541428,73.8869294519902,151.8126186854143,38.8869294519902,0.85,0.85,0.8736756574753796,0.85,0.85,0.9442196710798341,0.0,0.0,0.15783771650253023,0.0,0.0,0.6281311405322273,pid,0.7,0.21,1.0,6095.677487466,0.03406227566912737,0.012686645034819229,0.8352634741406064,0.4509823049195221,9.050600895240675e-06,0.7,0.21,1.0,0.010663020936687,0.15367642238788254,0.00010876971006971432,0.007439958284336449,0.005045640298929398,1.0125913169631335e-07,0.7473513149507591,0.22420539448522772,0.0,-33947.029191792906,0.14462031258228963,2.4397519535161726e-06,0.0001583320197852776,0.2630490682825979,5.279036687072571e-06,0.7,0.21,0.0,7.595488517703514e-11,0.11463767319546654,0.0002492321769924388,0.0031624244234332048,0.0012551141160330277,2.5188431604261815e-08,0.7,0.21,1.0,29378.734888649997,0.16524659948092602,3.688205155898187e-05,0.001692870038271522,0.0006079600973171557,1.2200931480074729e-08,0.8884393421596681,0.26653180264790044,0.0,115.47981553186658,0.25031822924209923,0.13663240769163912,7.874180758282669,9.76301502782779,0.00019593042030080187
