curr_time,press_pos,press_neg,act_pos_press,act_neg_press,ref_act_pos,ref_act_neg,ctrl_ch_pos,ctrl_ch_neg,ctrl_act_pos_in,ctrl_act_pos_out,ctrl_act_neg_in,ctrl_act_neg_out,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,116.93720948047068,73.96230188034994,0.85,0.85,0.9653348982334137,0.8785365626215934,0.8908676609396934,1.0,,,,,,
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,116.93720948047068,73.96230188034994,0.85,0.85,0.9658878624439239,0.8778688758611679,0.8911699101328849,0.9537859535776079,,,,,,
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,116.93720948047068,73.96230188034994,0.85,0.85,0.9660350799560546,0.8776048749685287,0.8907581955194473,0.9542542904615402,,,,,,
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,116.93720948047068,73.96230188034994,0.85,0.85,0.9661192834377288,0.8774566650390625,0.8903773084282874,0.9546577447094023,,,,,,
0.019999999999999823,102.80047341143789,95.43443704773682,101.325,101.29874574765925,116.93720948047068,73.96230188034994,0.85,0.85,0.9663421928882598,0.8771458148956298,0.8899955183267593,0.9548767881467938,,,,,,
0.03999999999999961,105.171789375791,90.23322688531523,101.33068666316862,101.07403440768822,116.93720948047068,73.96230188034994,0.85,0.85,0.9668113648891449,0.8766482830047607,0.8896809980273247,0.9546691457740962,,,,,,
0.060000000000000185,107.72830430804727,85.52727664804391,101.37255417693262,100.48573178227032,116.93720948047068,73.96230188034994,0.85,0.85,0.9689739763736724,0.8743608638644218,0.887438528239727,0.9537384379655123,,,,,,
0.07999999999999834,110.24320562464392,81.2393039307409,101.4903215073339,99.5284727336836,116.93720948047068,73.96230188034994,0.85,0.85,0.9706830084323883,0.8736207976937294,0.8868675842881203,0.9505433014594018,,,,,,
0.09999999999999613,112.64415094808417,77.32925604241655,101.72198149447841,98.20290761580816,116.93720948047068,73.96230188034994,0.85,0.85,0.9723249852657317,0.8731619253754616,0.8869347020983696,0.9491088300943374,,,,,,
0.11999999999999393,114.91271247070719,73.75804635878659,102.09990933006895,96.54645164269579,116.93720948047068,73.96230188034994,0.85,0.85,0.9738192081451416,0.8729419082403183,0.887435595691204,0.9467448115348815,,,,,,
0.13999999999999174,117.04865651973333,70.48231799270053,102.64907185621293,94.62524362836768,116.93720948047068,73.96230188034994,0.85,0.85,0.975245589017868,0.8728625908493995,0.8884053081274033,0.9434064894914627,,,,,,
0.15999999999998954,119.05277419195681,67.46620183960498,103.38702192488043,92.49777477619789,116.93720948047068,73.96230188034994,0.85,0.85,0.977214840054512,0.872686293721199,0.8894719243049621,0.9393025487661362,,,,,,
0.17999999999998734,120.93245550725585,64.67603195905626,104.3255093692432,90.21555356679573,116.93720948047068,73.96230188034994,0.85,0.85,0.976847431063652,0.8737069323658943,0.8910942539572716,0.9344686090946197,,,,,,
0.19999999999998513,122.69526148967796,62.08328709782108,105.47035155932998,87.82683943064652,116.93720948047068,73.96230188034994,0.85,0.85,0.9705432653427124,0.8773470163345337,0.89476780295372,0.9242007821798325,,,,,,
0.21999999999998293,124.34543324417089,59.66156195199841,106.82154788707363,85.37564135730203,116.15567207449799,73.40087005845677,0.85,0.85,0.9647510886192321,0.8811406791210175,0.8985761284828185,0.9139160752296448,,,,,,
0.23999999999998073,125.88976331176345,57.387765413059704,108.37369116208383,82.90168703635669,116.12369331995613,73.36397867023383,0.85,0.85,0.9552758991718292,0.8861331239342689,0.9010451287031174,0.9032987296581269,,,,,,
0.25999999999998963,127.33553804782332,55.24132568263149,110.11674167306178,80.44074969859474,116.12369331995613,73.36397867023383,0.85,0.85,0.9431585550308227,0.894139164686203,0.9095772355794907,0.8891562551259994,,,,,,
0.28000000000000963,128.68923920578737,53.20434404110021,112.03667166071264,78.02487248119164,116.12369331995613,73.36397867023383,0.85,0.85,0.9291917383670807,0.904167877137661,0.9182948127388953,0.8792738795280456,,,,,,
0.30000000000002963,129.95498756375136,51.26128595561565,114.11243380388147,75.68363492418403,116.12369331995613,73.36397867023383,0.85,0.85,0.91418686658144,0.9144853785634041,0.9252004146575927,0.8731330201029778,,,,,,
0.32000000000004963,131.14079579774068,49.39752942542529,116.31102201133793,73.44756987521524,116.12369331995613,73.36397867023383,0.85,0.85,0.9018970876932144,0.9213042020797729,0.9271513909101486,0.8720583707094193,,,,,,
0.34000000000006964,132.25648159954636,47.59915633070534,118.58777884777375,71.3481275882549,116.12369331995613,73.36397867023383,0.85,0.85,0.8936045959591865,0.9274817585945129,0.9269543647766113,0.8718548715114594,,,,,,
