ctrl,p_in,p_out,real_flow_lpm,pred_flow_lpm,err_lpm
0.8938866257667542,101.325,7.73883056640625,0.3929853439331054,2.1519997625392824,1.759014418606177
0.8938866257667542,101.325,7.682823181152344,0.3747105598449707,2.1519997625392824,1.7772892026943117
0.8938866257667542,101.325,7.672470092773437,0.3563165664672851,2.1519997625392824,1.7956831960719972
0.8938866257667542,101.325,7.667228698730469,0.3383994102478027,2.1519997625392824,1.8136003522914796
0.8938866257667542,101.325,7.660392761230469,0.3208160400390625,2.1519997625392824,1.8311837225002199
0.8938866257667542,101.325,7.645606994628906,0.3036737442016601,2.1519997625392824,1.8483260183376222
0.8938866257667542,101.325,7.601371765136719,0.2874612808227539,2.1519997625392824,1.8645384817165285
0.8938866257667542,101.325,7.588172912597656,0.2711415290832519,2.1519997625392824,1.8808582334560304
0.8938866257667542,101.325,7.5707855224609375,0.2550482749938965,2.1519997625392824,1.896951487545386
0.8938866257667542,101.325,7.561180114746094,0.2388358116149902,2.1519997625392824,1.9131639509242921
0.8938866257667542,101.325,7.569114685058594,0.2225995063781738,2.1519997625392824,1.9294002561611086
0.8938866257667542,101.325,7.540748596191406,0.2065896987915039,2.1519997625392824,1.9454100637477785
0.8938866257667542,101.325,7.51104736328125,0.1913070678710937,2.1519997625392824,1.9606926946681886
0.8938866257667542,101.325,7.511238098144531,0.1761555671691894,2.1519997625392824,1.975844195370093
0.8938866257667542,101.325,7.500267028808594,0.1617431640625,2.1519997625392824,1.9902565984767824
0.8938866257667542,101.325,7.504425048828125,0.1486182212829589,2.1519997625392824,2.0033815412563234
0.8938866257667542,101.325,7.47454833984375,0.13657808303833,2.1519997625392824,2.0154216795009523
0.8938866257667542,101.325,7.445182800292969,0.1260280609130859,2.1519997625392824,2.0259717016261964
0.8938866257667542,101.325,7.429145812988281,0.1164793968200683,2.1519997625392824,2.035520365719214
0.8938866257667542,101.325,7.442497253417969,0.1079678535461425,2.1519997625392824,2.04403190899314
0.8938866257667542,101.325,7.456840515136719,0.1003265380859375,2.1519997625392824,2.051673224453345
0.8938866257667542,101.325,7.412460327148437,0.0931859016418457,2.1519997625392824,2.0588138608974367
0.8938866257667542,101.325,7.380615234375,0.0860810279846191,2.1519997625392824,2.0659187345546632
0.8938866257667542,101.325,7.380531311035156,0.0791192054748535,2.1519997625392824,2.072880557064429
0.8938866257667542,101.325,7.396217346191406,0.0720858573913574,2.1519997625392824,2.079913905147925
0.8938866257667542,101.325,7.400772094726562,0.0653386116027832,2.1519997625392824,2.086661150936499
0.8938866257667542,101.325,7.3652496337890625,0.058603286743164,2.1519997625392824,2.0933964757961183
0.8938866257667542,101.325,7.326423645019531,0.0517606735229492,2.1519997625392824,2.100239089016333
0.8938866257667542,101.325,7.3231964111328125,0.0449657440185546,2.1519997625392824,2.1070340185207277
0.8938866257667542,101.325,7.360870361328125,0.0382781028747558,2.1519997625392824,2.1137216596645265
0.8938866257667542,101.325,7.353790283203125,0.0319838523864746,2.1519997625392824,2.1200159101528078
0.8938866257667542,101.325,7.292549133300781,0.0261306762695312,2.1519997625392824,2.125869086269751
0.8938866257667542,101.325,7.277656555175781,0.0205755233764648,2.1519997625392824,2.1314242391628175
