time_mid,freq_hz,input_amp,output_amp,input_offset,output_offset,gain,phase_rad,phase_deg,delay_sec,n_points,gain_norm,gain_db,phase_unwrapped_rad,phase_unwrapped_deg
20.00012937850005,0.1,0.04999999999999999,6.656769353807519,0.95,28.877491848974962,133.1353870761504,-0.3478184320718796,-19.928528194576415,0.5535702276271227,2001,1.0232934792345265,0.20000413334768372,-0.3478184320718796,-19.928528194576415
40.00008813750003,0.1,0.04999999999999999,6.480829458851871,0.9499999999999998,28.760439128986135,129.61658917703744,-0.3637869949305129,-20.843459451265463,0.578984984757374,2001,0.9962476049257907,-0.03265419359819442,-0.3637869949305129,-20.843459451265463
59.99008030250002,0.1,0.04999999999999733,6.5052396882141315,0.9499999999999998,28.859021177435498,130.10479376428958,-0.36249059193983924,-20.769181031351724,0.5769216953153257,2000,1.0,0.0,-0.36249059193983924,-20.769181031351724
79.99007452450002,0.1,0.05000000000000001,6.5444077432779055,0.9500000000000006,28.937344658134847,130.88815486555808,-0.3624084434877205,-20.76447427175179,0.5767909519931053,2000,1.0060210010607888,0.0521409374521605,-0.3624084434877205,-20.76447427175179
123.99007768400003,0.25,0.04999999999999998,5.971193459526342,0.9499999999999995,29.144391743721915,119.42386919052689,-1.0466979933410423,-59.97137744325407,0.6663486382583785,800,0.9179052188260389,-0.7440432183710239,-1.0466979933410423,-59.97137744325407
155.9900791620001,0.25,0.05000000000000004,6.024063921345849,0.9499999999999997,29.237834831766687,120.4812784269169,-1.0401118644748886,-59.59402005589418,0.6621557783988242,800,0.9260325845117777,-0.6674746286791176,-1.0401118644748886,-59.59402005589418
147.99007274500002,0.25,0.05000000000000004,6.013845471119417,0.9499999999999996,29.221431813714535,120.27690942238826,-1.040383668116615,-59.60959325742139,0.6623288139713488,800,0.9244617814797319,-0.682220769285956,-1.040383668116615,-59.60959325742139
132.00007125300004,0.25,0.05000000000000002,5.985448482760606,0.9500000000000007,29.17021078241119,119.70896965521207,-1.0452574583291832,-59.88884086683371,0.6654315651870413,801,0.9200965328924652,-0.7233321160626278,-1.0452574583291832,-59.88884086683371
171.99007930100004,0.25,0.04999999999999982,6.049490760354607,0.9500000000000001,29.276499403453016,120.98981520709258,-1.0393593855590875,-59.550906189846195,0.6616767354427355,800,0.9299412550954073,-0.6308897040548407,-1.0393593855590875,-59.550906189846195
179.990084136,0.25,0.049999999999999656,6.0580600337649,0.9499999999999998,29.284471678249975,121.16120067529884,-1.0387221096581047,-59.51439297033449,0.6612710330037165,800,0.931258542977334,-0.618594603779917,-1.0387221096581047,-59.51439297033449
163.99008663600006,0.25,0.05000000000000002,6.033547277638219,0.9500000000000001,29.259244752823264,120.67094555276434,-1.0399598455830743,-59.585310014986966,0.6620590001665219,800,0.9274903872595462,-0.6538116565067202,-1.0399598455830743,-59.585310014986966
196.00016823150003,0.25,0.03750008799900545,4.590720379013252,0.9500001110297461,29.338920030348056,122.41892283386119,-1.0389422575798795,-59.52700651712075,0.661411183523564,801,0.9409255361923646,-0.5288948959685472,-1.0389422575798795,-59.52700651712075
115.99007949800006,0.25,0.05000000000000004,5.963010210880208,0.95,29.124822353031504,119.26020421760407,-1.0464112435231612,-59.95494788891334,0.6661660876545926,800,0.9166472715345707,-0.7559549986161422,-1.0464112435231612,-59.95494788891334
108.00008421250004,0.25,0.05000000000000001,5.897887848290906,0.95,29.266890441491046,117.95775696581809,-1.0099746657725674,-57.867285763904036,0.6429698418211559,801,0.9066365162495224,-0.8513358602721093,-1.0099746657725674,-57.867285763904036
100.00010325050005,0.25,0.025000027763128665,2.953926004732839,0.9500000149904203,29.1058594238624,118.1569089730949,-1.017559545172814,-58.30186734165389,0.6477985260183765,2001,0.9081672208570529,-0.8366835492033977,-1.017559545172814,-58.30186734165389
140.0000761720001,0.25,0.05000000000000014,6.001109611638263,0.9500000000000005,29.197510490980985,120.02219223276492,-1.0425859531139992,-59.73577489305648,0.663730832145072,801,0.922503996664479,-0.7006348724713889,-1.0425859531139992,-59.73577489305648
187.99008143500004,0.25,0.05000000000000009,6.069329176123399,0.9500000000000001,29.296538748296754,121.38658352246776,-1.0383827843814375,-59.49495106409935,0.661055011823326,800,0.9329908607547807,-0.6024522085256822,-1.0383827843814375,-59.49495106409935
232.00009074850004,0.5,0.049999999999999926,4.068017629564079,0.9499999999999993,29.335439125401727,81.36035259128171,-1.8016087024383782,-103.22457498375965,0.573469861020887,401,0.6253447719895855,-4.0776095318738275,-1.8016087024383782,-103.22457498375965
228.00007378150008,0.5,0.04999999999999991,4.066613315608438,0.9499999999999997,29.335255308067165,81.33226631216891,-1.8006038489816092,-103.16700112165766,0.5731500062314314,401,0.6251288977062468,-4.08060849181172,-1.8006038489816092,-103.16700112165766
