time,press_pos,press_neg,act_pos_press,act_neg_press,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,flow1,flow2,flow3,flow4,flow5,flow6,anlge,angle_vel,profile_idx,profile_mode,profile_time,profile_period
0.02014899253845215,139.86810302734375,25.371498107910156,101.73925018310547,100.96826171875,0.0,0.0,0.0,0.0,0.0,0.0,14.515113830566406,15.330743789672852,-0.05374550819396973,0.0,-0.16927123069763184,-0.12120604515075684,0.0,0.0,-1.0,0.0,0.0,0.0
0.04035234451293945,140.60971069335938,24.391334533691406,101.41809844970703,100.96826171875,0.699999988079071,1.0,0.0,0.0,0.0,0.0,14.514756202697754,15.330743789672852,-0.05370378494262695,0.0,-0.17049908638000488,-0.12125968933105469,0.0,0.0,0.0,7.0,0.0,140.0
0.060387611389160156,141.35345458984375,23.492477416992188,101.79801940917969,100.96826171875,0.7001010179519653,0.9998989701271057,0.0,0.0,0.0,0.0,14.50643539428711,15.329146385192871,-0.0536501407623291,0.0,-0.1723766326904297,-0.12133121490478516,0.0,0.0,0.0,7.0,0.020203351974487305,140.0
0.08046793937683105,141.73158264160156,23.694725036621094,101.83854675292969,100.96826171875,0.7002012133598328,0.9997988343238831,0.0,0.0,0.0,0.0,14.482986450195312,15.315807342529297,-0.05359649658203125,0.0,-0.17431378364562988,-0.12136101722717285,0.0,0.0,0.0,7.0,0.04023861885070801,140.0
0.10035181045532227,142.76345825195312,23.953536987304688,101.42501068115234,100.96826171875,0.7003015875816345,0.9996984004974365,0.0,0.0,0.0,0.0,14.428997039794922,15.275287628173828,-0.05353093147277832,0.0,-0.17670989036560059,-0.12163519859313965,0.0,0.0,0.0,7.0,0.060318946838378906,140.0
0.12037038803100586,143.05313110351562,24.165771484375,101.42417907714844,100.96826171875,0.7004010081291199,0.9995989799499512,0.0,0.0,0.0,0.0,14.376962661743164,15.236139297485352,-0.05348920822143555,0.0,-0.17810463905334473,-0.12155771255493164,0.0,0.0,0.0,7.0,0.08020281791687012,140.0
0.1403653621673584,144.234375,24.33354949951172,101.45219421386719,100.96826171875,0.7005010843276978,0.9994989037513733,0.0,0.0,0.0,0.0,14.279592514038086,15.169215202331543,-0.053429603576660156,0.0,-0.17970800399780273,-0.12159347534179688,0.0,0.0,0.0,7.0,0.10022139549255371,140.0
0.16044020652770996,144.98004150390625,24.63648223876953,101.66545867919922,100.96826171875,0.7006011009216309,0.999398946762085,0.0,0.0,0.0,0.0,14.112687110900879,15.063369750976562,-0.05336403846740723,0.0,-0.18156766891479492,-0.12153983116149902,0.0,0.0,0.0,7.0,0.12021636962890625,140.0
0.1804041862487793,145.88424682617188,24.745262145996094,102.00318145751953,100.96826171875,0.7007014751434326,0.9992985725402832,0.0,0.0,0.0,0.0,13.988983154296875,14.993036270141602,-0.05332231521606445,0.0,-0.18249154090881348,-0.12152791023254395,0.0,0.0,0.0,7.0,0.1402912139892578,140.0
0.2003767490386963,146.2791748046875,24.943344116210938,101.59381103515625,100.96826171875,0.7008012533187866,0.9991987347602844,0.0,0.0,0.0,0.0,13.795804977416992,14.898085594177246,-0.0532686710357666,0.0,-0.1835465431213379,-0.12145638465881348,0.0,0.0,0.0,7.0,0.16025519371032715,140.0
0.2203683853149414,146.61868286132812,25.105621337890625,101.28184509277344,100.96826171875,0.7009011507034302,0.9990988373756409,0.0,0.0,0.0,0.0,13.573336601257324,14.803159713745117,-0.05321502685546875,0.0,-0.18456578254699707,-0.12139081954956055,0.0,0.0,0.0,7.0,0.18022775650024414,140.0
0.24037790298461914,147.7055206298828,25.183387756347656,101.44706726074219,100.96826171875,0.7010011076927185,0.9989988803863525,0.0,0.0,0.0,0.0,13.32850456237793,14.709150314331055,-0.0531613826751709,0.0,-0.18546581268310547,-0.1216590404510498,0.0,0.0,0.0,7.0,0.20021939277648926,140.0
0.2604329586029053,148.91799926757812,25.261276245117188,101.9261703491211,100.96826171875,0.7011011242866516,0.9988988637924194,0.0,0.0,0.0,0.0,13.066112518310547,14.618706703186035,-0.05310177803039551,0.0,-0.1861870288848877,-0.1217186450958252,0.0,0.0,0.0,7.0,0.220228910446167,140.0
0.2803835868835449,149.9901580810547,25.40534210205078,102.03083801269531,100.96826171875,0.7012014389038086,0.9987986087799072,0.0,0.0,0.0,0.0,12.785649299621582,14.536201477050781,-0.053048133850097656,0.0,-0.1867532730102539,-0.12178421020507812,0.0,0.0,0.0,7.0,0.24028396606445312,140.0
0.3003857135772705,150.35911560058594,25.573806762695312,101.62969970703125,100.96826171875,0.7013011574745178,0.9986988306045532,0.0,0.0,0.0,0.0,12.492979049682617,14.466440200805664,-0.052994489669799805,0.0,-0.1873493194580078,-0.12187957763671875,0.0,0.0,0.0,7.0,0.2602345943450928,140.0
0.32041263580322266,150.7047119140625,25.714950561523438,101.32868957519531,100.96826171875,0.7014011740684509,0.9985988140106201,0.0,0.0,0.0,0.0,12.183117866516113,14.407098770141602,-0.05294084548950195,0.0,-0.1878976821899414,-0.12215971946716309,0.0,0.0,0.0,7.0,0.28023672103881836,140.0
0.3404252529144287,151.2354278564453,25.76830291748047,101.42894744873047,100.96826171875,0.7015013098716736,0.9984986782073975,0.0,0.0,0.0,0.0,11.861801147460938,14.356624603271484,-0.0528872013092041,0.0,-0.18846988677978516,-0.12214183807373047,0.0,0.0,0.0,7.0,0.3002636432647705,140.0
0.3603956699371338,152.58712768554688,25.79400634765625,101.89076232910156,100.96826171875,0.7016013860702515,0.9983986020088196,0.0,0.0,0.0,0.0,11.541879653930664,14.314472198486328,-0.05282759666442871,0.0,-0.1890718936920166,-0.12202858924865723,0.0,0.0,0.0,7.0,0.32027626037597656,140.0
0.38039159774780273,153.88925170898438,25.85900115966797,101.77751159667969,100.96826171875,0.7017012238502502,0.9982987642288208,0.0,0.0,0.0,0.0,11.219334602355957,14.28016471862793,-0.05277395248413086,0.0,-0.18941164016723633,-0.12211799621582031,0.0,0.0,0.0,7.0,0.34024667739868164,140.0
0.40038466453552246,154.4611053466797,25.994224548339844,101.58689880371094,100.96826171875,0.7018012404441833,0.9981988072395325,0.0,0.0,0.0,0.0,10.89678955078125,14.255023002624512,-0.05272030830383301,0.0,-0.1895427703857422,-0.12215971946716309,0.0,0.0,0.0,7.0,0.3602426052093506,140.0
0.42043089866638184,154.98406982421875,26.11798095703125,101.45266723632812,100.96826171875,0.7019011974334717,0.9980988502502441,0.0,0.0,0.0,0.0,10.574234008789062,14.238166809082031,-0.052666664123535156,0.0,-0.18951892852783203,-0.12212395668029785,0.0,0.0,0.0,7.0,0.3802356719970703,140.0
