time,press_pos,press_neg,act_pos_press,act_neg_press,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,flow1,flow2,flow3,flow4,flow5,flow6,anlge,angle_vel,profile_idx,profile_mode,profile_time,profile_period
0.020107746124267578,143.8717498779297,25.57147216796875,101.66045379638672,101.32537841796875,0.0,0.0,0.0,0.0,0.0,0.0,15.396345138549805,16.0773868560791,0.0,0.04276633262634277,-0.058019161224365234,-0.0051021575927734375,0.0,0.0,-1.0,0.0,0.0,0.0
0.04029107093811035,144.57650756835938,24.260879516601562,101.6014404296875,101.32726287841797,1.0,1.0,0.0,0.0,0.0,0.0,15.391921997070312,16.07809066772461,0.0,0.04276633262634277,-0.058084726333618164,-0.005280971527099609,0.0,0.0,0.0,9.0,0.0,8.0
0.0601956844329834,145.12130737304688,23.411514282226562,101.54196166992188,101.32866668701172,1.0,1.0,0.0,0.0,0.0,0.0,15.380584716796875,16.077232360839844,0.0,0.04276633262634277,-0.05816221237182617,-0.005567073822021484,0.0,0.0,0.0,9.0,0.020183324813842773,8.0
0.08033418655395508,144.74685668945312,23.51995086669922,101.52323913574219,101.33055114746094,1.0,1.0,0.0,0.0,0.0,0.0,15.351557731628418,16.065288543701172,0.0,0.04276633262634277,-0.058275461196899414,-0.005364418029785156,0.0,0.0,0.0,9.0,0.04008793830871582,8.0
0.10031270980834961,145.05621337890625,23.86235809326172,101.59810638427734,101.3329086303711,1.0,1.0,0.0,0.0,0.0,0.0,15.289926528930664,16.02419662475586,0.0,0.04276633262634277,-0.05841255187988281,-0.005823373794555664,0.0,0.0,0.0,9.0,0.0602264404296875,8.0
0.12037158012390137,144.82113647460938,24.193016052246094,101.76512145996094,101.33480072021484,1.0,1.0,0.0,0.0,0.0,0.0,15.21719741821289,15.964436531066895,0.0,0.04276633262634277,-0.05847811698913574,-0.005936622619628906,0.0,0.0,0.0,9.0,0.08020496368408203,8.0
0.14037227630615234,144.30625915527344,24.494285583496094,101.54219818115234,101.33666229248047,1.0,1.0,0.0,0.0,0.0,0.0,15.127288818359375,15.886270523071289,0.0,0.04273653030395508,-0.058531761169433594,-0.0060617923736572266,0.0,0.0,0.0,9.0,0.10026383399963379,8.0
0.1603553295135498,144.39686584472656,24.654312133789062,101.66223907470703,101.33807373046875,1.0,1.0,0.0,0.0,0.0,0.0,15.049064636230469,15.816652297973633,0.0,0.042694807052612305,-0.05857348442077637,-0.006079673767089844,0.0,0.0,0.0,9.0,0.12026453018188477,8.0
0.18033671379089355,143.86114501953125,24.901893615722656,101.43502807617188,101.33995056152344,1.0,1.0,0.0,0.0,0.0,0.0,14.938545227050781,15.714550018310547,0.0,0.04264116287231445,-0.05862712860107422,-0.006121397018432617,0.0,0.0,0.0,9.0,0.14024758338928223,8.0
0.20033597946166992,143.54296875,25.0743408203125,101.25704956054688,101.34185028076172,1.0,1.0,0.0,0.0,0.0,0.0,14.82551097869873,15.607810020446777,0.0,0.0425875186920166,-0.05868077278137207,-0.006014108657836914,0.0,0.0,0.0,9.0,0.16022896766662598,8.0
0.22027134895324707,143.6748046875,25.223342895507812,101.35539245605469,101.34363555908203,1.0,1.0,0.0,0.0,0.0,0.0,14.713991165161133,15.502178192138672,0.0,0.04252791404724121,-0.05874037742614746,-0.006020069122314453,0.0,0.0,0.0,9.0,0.18022823333740234,8.0
0.24036383628845215,143.9617462158203,25.437850952148438,101.50142669677734,101.3458251953125,1.0,1.0,0.0,0.0,0.0,0.0,14.582359313964844,15.374207496643066,0.0,0.04246234893798828,-0.05880594253540039,-0.0060558319091796875,0.0,0.0,0.0,9.0,0.2001636028289795,8.0
0.26039791107177734,143.31301879882812,25.603546142578125,101.1346206665039,101.34748840332031,1.0,1.0,0.0,0.0,0.0,0.0,14.489436149597168,15.280318260192871,0.0,0.04240870475769043,-0.05876421928405762,-0.00597834587097168,0.0,0.0,0.0,9.0,0.22025609016418457,8.0
