time,press_pos,press_neg,act_pos_press,act_neg_press,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,flow1,flow2,flow3,flow4,flow5,flow6,angle,angle_reference,angular_vel,len1,vel1,time_ctrl_sent,time_rt_raw,time_delta_ms,encoder_stale_count,profile_idx,profile_mode,profile_time,profile_period
0.020175695419311523,135.98092651367188,42.160648345947266,110.00093078613281,87.99779510498047,0.0,0.0,0.0,0.0,0.0,0.0,15.567612648010254,16.862964630126953,8.808267593383789,13.264793395996094,9.394115447998047,13.545608520507812,292.928466796875,0.0,0.0,,,0.020175695419311523,71.82575225830078,71805.57656288147,0.0,-1.0,0.0,0.0,0.0
0.04047560691833496,138.07376098632812,39.40565872192383,109.58119201660156,88.07777404785156,1.0,1.0,1.0,1.0,1.0,1.0,15.567612648010254,16.862701416015625,8.806866645812988,13.264142990112305,9.392642974853516,13.544053077697754,293.291015625,0.0,0.0,,,0.04047560691833496,71.84573364257812,71805.25803565979,0.0,0.0,9.0,0.0,5.0
0.060381412506103516,139.5452880859375,38.281497955322266,112.10545349121094,88.21760559082031,1.0,1.0,1.0,1.0,1.0,1.0,15.566932678222656,16.855228424072266,8.803743362426758,13.25816535949707,9.387641906738281,13.5389986038208,294.08203125,0.0,0.0,,,0.060381412506103516,71.86572265625,71805.3412437439,0.0,0.0,9.0,0.020299911499023438,5.0
0.0804433822631836,139.310791015625,38.99049377441406,112.19283294677734,88.3458023071289,1.0,1.0,1.0,1.0,1.0,1.0,15.555405616760254,16.833269119262695,8.793937683105469,13.242178916931152,9.376632690429688,13.526087760925293,295.9716796875,0.0,0.0,,,0.0804433822631836,71.88574981689453,71805.30643463135,0.0,0.0,9.0,0.04020571708679199,5.0
0.1004645824432373,138.57110595703125,39.70103073120117,111.4273910522461,88.42334747314453,1.0,1.0,1.0,1.0,1.0,1.0,15.527558326721191,16.793167114257812,8.774751663208008,13.210421562194824,9.354639053344727,13.49905776977539,296.3671875,0.0,34.38720703125,,,0.1004645824432373,71.90573120117188,71805.26661872864,0.0,0.0,9.0,0.06026768684387207,5.0
0.12047886848449707,137.84536743164062,40.367584228515625,110.44606018066406,88.47673797607422,1.0,1.0,1.0,1.0,1.0,1.0,15.483546257019043,16.73082160949707,8.744257926940918,13.162726402282715,9.320789337158203,13.456028938293457,295.224609375,0.0,34.38720703125,,,0.12047886848449707,71.92572021484375,71805.24134635925,0.0,0.0,9.0,0.08028888702392578,5.0
0.14049673080444336,137.2440643310547,40.86273193359375,110.64131927490234,88.54154968261719,1.0,1.0,1.0,1.0,1.0,1.0,15.423429489135742,16.649459838867188,8.704471588134766,13.099491119384766,9.276938438415527,13.39881420135498,294.158935546875,0.0,34.38720703125,,,0.14049673080444336,71.94574737548828,71805.25064468384,0.0,0.0,9.0,0.10030317306518555,5.0
0.16048359870910645,137.15203857421875,41.23042678833008,111.48091125488281,88.61653137207031,1.0,1.0,1.0,1.0,1.0,1.0,15.347647666931152,16.552888870239258,8.65670394897461,13.025945663452148,9.226971626281738,13.330924987792969,293.40087890625,0.0,34.38720703125,,,0.16048359870910645,71.96572875976562,71805.24516105652,0.0,0.0,9.0,0.12032103538513184,5.0
0.18047046661376953,137.40618896484375,41.55289840698242,111.91316223144531,88.67466735839844,1.0,1.0,1.0,1.0,1.0,1.0,15.26292610168457,16.447139739990234,8.603960037231445,12.946832656860352,9.171926498413086,13.258541107177734,293.741455078125,0.0,34.38720703125,,,0.18047046661376953,71.98572540283203,71805.25493621826,0.0,0.0,9.0,0.14030790328979492,5.0
0.20036888122558594,137.29937744140625,41.83182144165039,111.78775787353516,88.69590759277344,1.0,1.0,1.0,1.0,1.0,1.0,15.17738151550293,16.340457916259766,8.550453186035156,12.867379188537598,9.113943099975586,13.185203552246094,294.071044921875,0.0,-22.96142578125,,,0.20036888122558594,72.00574493408203,71805.37605285645,0.0,0.0,9.0,0.160294771194458,5.0
0.22047638893127441,137.13558959960938,42.1529655456543,111.45504760742188,88.6841049194336,1.0,1.0,1.0,1.0,1.0,1.0,15.09193229675293,16.234230041503906,8.496952056884766,12.789750099182129,9.056509017944336,13.114410400390625,293.917236328125,0.0,-22.96142578125,,,0.22047638893127441,72.02572631835938,71805.2499294281,0.0,0.0,9.0,0.18019318580627441,5.0
0.2404773235321045,136.80978393554688,42.36871337890625,111.54802703857422,88.65557861328125,1.0,1.0,1.0,1.0,1.0,1.0,15.007424354553223,16.131805419921875,8.443653106689453,12.719040870666504,9.001022338867188,13.048190116882324,293.411865234375,0.0,-22.96142578125,,,0.2404773235321045,72.04572296142578,71805.24563789368,0.0,0.0,9.0,0.2003006935119629,5.0
0.26052212715148926,136.19239807128906,42.524139404296875,111.7732162475586,88.62478637695312,1.0,1.0,1.0,1.0,1.0,1.0,14.926648139953613,16.038406372070312,8.392000198364258,12.656343460083008,8.94790267944336,12.98704719543457,293.02734375,0.0,-22.96142578125,,,0.26052212715148926,72.06572723388672,71805.20510673523,0.0,0.0,9.0,0.22030162811279297,5.0
0.2803173065185547,136.0323028564453,42.671173095703125,111.77285766601562,88.58709716796875,1.0,1.0,1.0,1.0,1.0,1.0,14.852595329284668,15.956962585449219,8.34341049194336,12.601691246032715,8.897614479064941,12.930041313171387,292.950439453125,0.0,-22.96142578125,,,0.2803173065185547,72.08574676513672,71805.42945861816,0.0,0.0,9.0,0.24034643173217773,5.0
0.3004884719848633,136.23663330078125,42.767208099365234,111.59297180175781,88.53428649902344,1.0,1.0,1.0,1.0,1.0,1.0,14.788734436035156,15.887260437011719,8.299154281616211,12.555086135864258,8.850508689880371,12.878089904785156,293.0712890625,0.0,-9.99755859375,,,0.3004884719848633,72.10572814941406,71805.2396774292,0.0,0.0,9.0,0.26014161109924316,5.0
0.32044339179992676,136.62393188476562,42.86734390258789,111.68917083740234,88.46522521972656,1.0,1.0,1.0,1.0,1.0,1.0,14.734411239624023,15.828287124633789,8.260369300842285,12.516534805297852,8.806884765625,12.832194328308105,293.082275390625,0.0,-9.99755859375,,,0.32044339179992676,72.12574005126953,71805.2966594696,0.0,0.0,9.0,0.28031277656555176,5.0
