time,rt_time,press_pos,press_neg,act_pos_press,act_neg_press,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,flow1,flow2,flow3,flow4,flow5,flow6,angle,angle_vel,chirp_ctrl,chirp_freq,profile_mode,profile_idx,profile_local_time,profile_hold_sec,profile_discard_sec,profile_usable,pid_ctrl,pid_ref,pid_measured,pid_err,pid_p,pid_i,pid_d,pid_raw,pid_integral
0.00019366500009709853,180.00107979774475,280.7454833984375,101.27568054199219,101.5821304321289,101.32499694824219,0.925000608435983,0.85,0.0,0.0,0.0,0.0,34.75244140625,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.0006377696990966797,0.0,0.0,0.925000608435983,0.05000319547250161,0.0,,,,,1.0,0.85,310.0,280.7454833984375,29.2545166015625,0.2340361328125,0.0029254516601562503,0.0,0.6880384155273438,0.58509033203125
0.02017335899995487,0.00042176246643066406,285.6315002441406,101.31365203857422,101.49403381347656,101.32499694824219,0.9250635870031296,1.0,0.0,0.0,0.0,0.0,34.751617431640625,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.00021457672119140625,0.0,0.0,0.9250635870031296,0.05033286042349926,0.0,,,,,1.0,1.0,310.0,285.6315002441406,24.368499755859375,0.19494799804687502,0.005362301635742188,-0.4886016845703125,1.2132913848876954,1.0724603271484376
0.04013250599996354,0.0325009822845459,283.4822692871094,101.2749252319336,101.9566879272461,101.32499694824219,0.9251269114633923,0.85,0.0,0.0,0.0,0.0,34.7513427734375,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.00015497207641601562,0.0,0.0,0.9251269114633923,0.050662186348999404,0.0,,,,,1.0,0.85,310.0,283.4822692871094,26.517730712890625,0.212141845703125,0.00801407470703125,0.214923095703125,0.4899209838867188,1.6028149414062502
0.06015568299994811,0.040564775466918945,284.4881591796875,101.28996276855469,101.6025161743164,101.32499694824219,0.925190848866945,0.85,0.0,0.0,0.0,0.0,34.7498664855957,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.0003635883331298828,0.0,0.0,0.925190848866945,0.05099256876949915,0.0,,,,,1.0,0.85,310.0,284.4881591796875,25.5118408203125,0.2040947265625,0.010568215228733994,-0.10047255663563281,0.8108096148443988,2.113643045746799
0.08011749299998883,0.06058216094970703,287.2261657714844,101.30699920654297,101.4989242553711,101.32499694824219,0.9252549961586055,1.0,0.0,0.0,0.0,0.0,34.74091339111328,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.0004947185516357422,0.0,0.0,0.9252549961586055,0.05132193863449982,0.0,,,,,1.0,1.0,310.0,287.2261657714844,22.773834228515625,0.182190673828125,0.012845598651585558,-0.2738006591796875,1.003764386699977,2.5691197303171114
0.10011679800004458,0.08058595657348633,292.36407470703125,101.30152130126953,101.53611755371094,101.32499694824219,0.9253196674724884,1.0,0.0,0.0,0.0,0.0,34.716487884521484,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.0006079673767089844,0.0,0.0,0.9253196674724884,0.05165192716700074,0.0,,,,,1.0,1.0,310.0,292.36407470703125,17.63592529296875,0.14108740234375,0.014609191180882433,-0.5137908935546875,1.2830943000300552,2.9218382361764865
0.12009160599995994,0.10084843635559082,297.10980224609375,101.2701416015625,101.91865539550781,101.32499694824219,0.9253846598097392,1.0,0.0,0.0,0.0,0.0,34.67525100708008,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.001150369644165039,0.0,0.0,0.9253846598097392,0.05198151149899934,0.0,,,,,1.0,1.0,310.0,297.10980224609375,12.89019775390625,0.10312158203125,0.015898210956273057,-0.47457275390625003,1.280552960918727,3.1796421912546116
0.14009251199991013,0.12055706977844238,296.36273193359375,101.27021789550781,101.86358642578125,101.32499694824219,0.9254501347986425,0.85,0.0,0.0,0.0,0.0,34.60816192626953,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.001424551010131836,0.0,0.0,0.9254501347986425,0.05231152644799852,0.0,,,,,1.0,0.85,310.0,296.36273193359375,13.63726806640625,0.10909814453125,0.01726199953973463,0.07470364717496902,0.7239362087540464,3.4523999079469254
0.1600933279999026,0.1405932903289795,296.791015625,101.28236389160156,101.6422119140625,101.32499694824219,0.9255160043351693,0.85,0.0,0.0,0.0,0.0,34.51105499267578,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.0013530254364013672,0.0,0.0,0.9255160043351693,0.052641539911998395,0.0,,,,,1.0,0.85,310.0,296.791015625,13.208984375,0.105671875,0.018582951869890382,-0.04282662181447107,0.8435717949445807,3.716590373978076
0.18009679000010692,0.16060996055603027,298.05859375,101.30110931396484,101.3565902709961,101.32499694824219,0.9255822742436485,0.9364273253181814,0.0,0.0,0.0,0.0,34.38360595703125,16.870080947875977,0.0,0.0,-0.0001609325408935547,-0.0013589859008789062,0.0,0.0,0.9255822742436485,0.05297159703500177,0.0,,,,,1.0,0.9364273253181814,310.0,298.05859375,11.94140625,0.09553125,0.019777299200644766,-0.12673587451882615,0.9364273253181814,3.9554598401289534
0.200089835999961,0.18062520027160645,299.8839111328125,101.30469512939453,101.49105834960938,101.32499694824219,0.9256488976529833,1.0,0.0,0.0,0.0,0.0,34.2269172668457,16.870080947875977,0.0,0.0,-0.00020265579223632812,-0.0016987323760986328,0.0,0.0,0.9256488976529833,0.05330148229399936,0.0,,,,,1.0,1.0,310.0,299.8839111328125,10.1160888671875,0.0809287109375,0.020788908087363518,-0.18253173828125,1.0058141192563865,4.157781617472703
0.22017931699997462,0.2005610466003418,300.41656494140625,101.27136993408203,102.00508880615234,101.32499694824219,0.9257162296227249,0.8796091106139984,0.0,0.0,0.0,0.0,34.04550552368164,16.870080947875977,0.0,0.0,-0.0002562999725341797,-0.0018835067749023438,0.0,0.0,0.9257162296227249,0.053632958730499586,0.0,,,,,1.0,0.8796091106139984,310.0,300.41656494140625,9.58343505859375,0.07666748046875001,0.021751539269985933,-0.05302813035273424,0.8796091106139984,4.350307853997187
0.24011766700004955,0.2206108570098877,300.1041259765625,101.25562286376953,102.00985717773438,101.32499694824219,0.9257834352419109,0.85,0.0,0.0,0.0,0.0,33.84375762939453,16.870080947875977,0.0,0.0,-0.00030994415283203125,-0.002008676528930664,0.0,0.0,0.9257834352419109,0.05396194150550082,0.0,,,,,1.0,0.85,310.0,300.1041259765625,9.8958740234375,0.07916699218750001,0.022741126672329682,0.031243896484375002,0.7918479846557953,4.548225334465936
0.2601189060001161,0.2405092716217041,302.67401123046875,101.29344940185547,101.7176742553711,101.32499694824219,0.9258512296701498,1.0,0.0,0.0,0.0,0.0,33.627498626708984,16.870080947875977,0.0,0.0,-0.0003635883331298828,-0.0020742416381835938,0.0,0.0,0.9258512296701498,0.05429196194900192,0.0,,,,,1.0,1.0,310.0,302.67401123046875,7.32598876953125,0.05860791015625,0.023473770933785675,-0.256972605936832,1.0998909248467963,4.694754186757135
0.28008539300003576,0.2605423927307129,308.0931396484375,101.31285858154297,101.4023666381836,101.32499694824219,0.9259192789346662,1.0,0.0,0.0,0.0,0.0,33.39356231689453,16.870080947875977,0.0,0.0,-0.0004172325134277344,-0.0022590160369873047,0.0,0.0,0.9259192789346662,0.054621408984500595,0.0,,,,,1.0,1.0,310.0,308.0931396484375,1.9068603515625,0.0152548828125,0.023664456968941924,-0.541912841796875,1.427993502015433,4.7328913937883845
0.3001239469999746,0.2805466651916504,310.7652282714844,101.3035659790039,101.54029083251953,101.32499694824219,0.9259879441842968,1.0,0.0,0.0,0.0,0.0,33.14180374145508,16.870080947875977,0.0,0.0,-0.000476837158203125,-0.0022232532501220703,0.0,0.0,0.9259879441842968,0.05495204512549958,0.0,,,,,1.0,1.0,310.0,310.7652282714844,-0.765228271484375,-0.006121826171875,0.023587786628739824,-0.26669475482662414,1.1742287943697594,4.717557325747965
0.32012266099991393,0.3005239963531494,309.0443115234375,101.26774597167969,101.82293701171875,101.32499694824219,0.9260568387763877,0.85,0.0,0.0,0.0,0.0,32.881343841552734,16.870080947875977,0.0,0.0,-0.0005245208740234375,-0.0020623207092285156,0.0,0.0,0.9260568387763877,0.055282023906498584,0.0,,,,,1.0,0.85,310.0,309.0443115234375,0.9556884765625,0.0076455078125,0.023683355476396075,0.1720916748046875,0.7215794619064164,4.736671095279215
0.34011755000005905,0.32054805755615234,308.91461181640625,101.27051544189453,101.99614715576172,101.32499694824219,0.9261260813962972,0.8795550295333696,0.0,0.0,0.0,0.0,32.61381530761719,16.870080947875977,0.0,0.0,-0.000476837158203125,-0.0017642974853515625,0.0,0.0,0.9261260813962972,0.055611939575000977,0.0,,,,,1.0,0.8795550295333696,310.0,308.91461181640625,1.08538818359375,0.00868310546875,0.02379189429475545,0.012969970703125,0.8795550295333696,4.75837885895109
0.36009120500011704,0.3406491279602051,309.634521484375,101.28842163085938,101.59285736083984,101.32499694824219,0.926195606780311,0.970238696525557,0.0,0.0,0.0,0.0,32.349586486816406,16.870080947875977,0.0,0.0,-0.00042319297790527344,-0.0015079975128173828,0.0,0.0,0.926195606780311,0.055941504882501936,0.0,,,,,1.0,0.970238696525557,310.0,309.634521484375,0.365478515625,0.002923828125,0.02382844214631795,-0.071990966796875,0.970238696525557,4.76568842926359
