time,rt_time,press_pos,press_neg,act_pos_press,act_neg_press,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,flow1,flow2,flow3,flow4,flow5,flow6,angle,angle_vel,chirp_ctrl,chirp_freq,pid_ctrl,pid_ref,pid_measured,pid_err,pid_p,pid_i,pid_d,pid_raw,pid_integral
0.00016447199959657155,215.87452483177185,274.244384765625,101.30776977539062,101.85905456542969,101.12615203857422,0.9500025837550116,0.85,0.0,0.0,0.0,0.0,35.26004409790039,17.196678161621094,0.0,0.0,0.0,0.0074803829193115234,0.0,0.0,0.9500025837550116,0.05000909164664437,0.85,300.0,274.244384765625,25.755615234375,0.2446783447265625,0.025755615234375,0.0,0.6545660400390625,0.5151123046875
0.020109926000259293,0.00041413307189941406,279.32257080078125,101.32512664794922,101.75379180908203,101.12615203857422,0.9503193952964112,0.85,0.0,0.0,0.0,0.0,35.26004409790039,17.196523666381836,0.0,0.0,0.0,0.007760524749755859,0.0,0.0,0.9503193952964112,0.05111163202056989,0.85,300.0,279.32257080078125,20.67742919921875,0.1964355773925781,0.04643304443359375,-0.0,0.6821313781738282,0.928660888671875
0.04009848500027147,0.03244519233703613,282.72039794921875,101.3056640625,101.74115753173828,101.12615203857422,0.9506438090547802,0.85,0.0,0.0,0.0,0.0,35.26004409790039,17.196441650390625,0.0,0.0,0.0,0.007688999176025391,0.0,0.0,0.9506438090547802,0.05221655514307057,0.85,300.0,282.72039794921875,17.27960205078125,0.16415621948242187,0.06371264648437501,-0.0,0.6971311340332031,1.2742529296875
0.060100398999566096,0.0429987907409668,287.40106201171875,101.3037109375,101.94011688232422,101.12615203857422,0.9509753565371691,0.85,0.0,0.0,0.0,0.0,35.26004409790039,17.19635772705078,0.0,0.0,0.0,0.0076830387115478516,0.0,0.0,0.9509753565371691,0.053322216500253795,0.85,300.0,287.40106201171875,12.59893798828125,0.11968991088867187,0.07631279019057739,-0.0,0.7289972989207507,1.5262558038115477
0.080103004999728,0.06050539016723633,288.19403076171875,101.32455444335938,101.80815124511719,101.12615203857422,0.9513138183046306,0.85,0.0,0.0,0.0,0.0,35.255516052246094,17.196250915527344,0.0,0.0,0.0,0.007426738739013672,0.0,0.0,0.9513138183046306,0.05442791610970719,0.85,300.0,288.19403076171875,11.80596923828125,0.11215670776367187,0.08812029774674596,-0.0,0.7247229944895822,1.7624059549349191
0.10010861699993256,0.0805666446685791,288.98187255859375,101.31340026855469,101.65484619140625,101.12615203857422,0.9516592166633716,0.85,0.0,0.0,0.0,0.0,35.23887252807617,17.196142196655273,0.0,0.0,0.0,0.007528066635131836,0.0,0.0,0.9516592166633716,0.05553378188416294,0.85,300.0,288.98187255859375,11.01812744140625,0.10467221069335937,0.09914151687482498,-0.0,0.7211862724318157,1.9828303374964993
0.12010327999996662,0.1005561351776123,291.0748291015625,101.29535675048828,102.12095642089844,101.12615203857422,0.9520112858100493,0.85,0.0,0.0,0.0,0.0,35.207237243652344,17.19602394104004,0.0,0.0,0.0,0.007843971252441406,0.0,0.0,0.9520112858100493,0.05663904242222038,0.85,300.0,291.0748291015625,8.9251708984375,0.08478912353515625,0.10806668777326248,-0.0,0.7321441886915814,2.1613337554652494
0.14008291400023154,0.12055015563964844,292.57733154296875,101.2852783203125,102.09115600585938,101.12615203857422,0.9523699176907207,0.85,0.0,0.0,0.0,0.0,35.1597900390625,17.19591522216797,0.0,0.0,0.0,0.008028745651245117,0.0,0.0,0.9523699176907207,0.05774347219056836,0.85,300.0,292.57733154296875,7.42266845703125,0.07051535034179687,0.11548935623029373,-0.0,0.7389952934279094,2.3097871246058745
0.16009935900001437,0.14054584503173828,294.39361572265625,101.31880950927734,102.03440856933594,101.12615203857422,0.9527360288676912,0.85,0.0,0.0,0.0,0.0,35.09639358520508,17.19580841064453,0.0,0.0,0.0,0.007975101470947266,0.0,0.0,0.9527360288676912,0.05884993678916746,0.85,300.0,294.39361572265625,5.60638427734375,0.05326065063476562,0.12110035035704865,-0.0,0.7506389990081858,2.422007007140973
0.18010547599988058,0.1605210304260254,297.840087890625,101.34139251708984,101.64566802978516,101.12615203857422,0.9531087432150812,0.85,0.0,0.0,0.0,0.0,35.01759719848633,17.195701599121094,0.0,0.0,0.0,0.007784366607666016,0.0,0.0,0.9531087432150812,0.05995583047888229,0.85,300.0,297.840087890625,2.159912109375,0.0205191650390625,0.12326092307552786,-0.0,0.7812199118854097,2.465218461510557
