time,rt_time,press_pos,press_neg,act_pos_press,act_neg_press,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,flow1,flow2,flow3,flow4,flow5,flow6,angle,angle_vel,chirp_ctrl,chirp_freq,profile_mode,profile_idx,profile_local_time,profile_hold_sec,profile_discard_sec,profile_startup_discard_sec,profile_usable,profile_total_duration,pid_ctrl,pid_ref,pid_measured,pid_err,pid_p,pid_i,pid_d,pid_raw,pid_integral
0.00020744800008287712,220.71371126174927,276.4226989746094,101.29531860351562,102.0329818725586,101.08734893798828,0.9250006517394203,0.85,0.0,0.0,0.0,0.0,34.02247619628906,16.836225509643555,-0.08705854415893555,0.0,-0.10814666748046875,-0.13315081596374512,0.0,0.0,0.9250006517394203,0.05000342289200137,0.0,,,,,,1.0,,0.85,310.0,276.4226989746094,33.577301025390625,0.268618408203125,0.003357730102539063,0.0,0.653023861694336,0.6715460205078125
0.02012173899993286,0.0004608631134033203,277.148681640625,101.3107681274414,101.9423828125,101.08734893798828,0.9250634237591969,0.85,0.0,0.0,0.0,0.0,34.02267837524414,16.836606979370117,-0.08705854415893555,0.0,-0.10867714881896973,-0.13297796249389648,0.0,0.0,0.9250634237591969,0.050332008693498895,0.0,,,,,,1.0,,0.85,310.0,277.148681640625,32.851318359375,0.262810546875,0.006642861938476563,-0.0725982666015625,0.728144857788086,1.3285723876953126
0.04007300400007807,0.03247666358947754,279.16644287109375,101.26944732666016,102.40670013427734,101.08734893798828,0.9251267220737494,0.8703814483642579,0.0,0.0,0.0,0.0,34.02272415161133,16.836715698242188,-0.08705854415893555,0.0,-0.10920166969299316,-0.13312101364135742,0.0,0.0,0.9251267220737494,0.05066120456600129,0.0,,,,,,1.0,,0.8703814483642579,310.0,279.16644287109375,30.83355712890625,0.24666845703125,0.009726217651367188,-0.201776123046875,0.8703814483642579,1.9452435302734377
0.06009636299995691,0.04165387153625488,283.71173095703125,101.27963256835938,102.38011932373047,101.08734893798828,0.9251906588445862,1.0,0.0,0.0,0.0,0.0,34.022666931152344,16.836881637573242,-0.08705854415893555,0.0,-0.10987520217895508,-0.13352632522583008,0.0,0.0,0.9251906588445862,0.05099158998949929,0.0,,,,,,1.0,,1.0,310.0,283.71173095703125,26.28826904296875,0.21030615234375,0.012358114894031012,-0.45399856097720703,1.156334293739426,2.4716229788062023
0.08010343099999773,0.06055283546447754,283.990478515625,101.29419708251953,102.16912078857422,101.08734893798828,0.9252549508283866,0.85,0.0,0.0,0.0,0.0,34.017311096191406,16.83709716796875,-0.08705854415893555,0.0,-0.1109778881072998,-0.1346588134765625,0.0,0.0,0.9252549508283866,0.05132170661149996,0.0,,,,,,1.0,,0.85,310.0,283.990478515625,26.009521484375,0.208076171875,0.014959986218963078,-0.027864908400689326,0.7298287503067263,2.9919972437926154
0.10010820000002241,0.08055782318115234,284.61285400390625,101.32260131835938,101.95751953125,101.08734893798828,0.9253196395829547,0.85,0.0,0.0,0.0,0.0,33.99729919433594,16.837310791015625,-0.08705854415893555,0.0,-0.11214017868041992,-0.13602375984191895,0.0,0.0,0.9253196395829547,0.05165178530000037,0.0,,,,,,1.0,,0.85,310.0,284.61285400390625,25.38714599609375,0.20309716796875,0.017499306175071862,-0.062222711822414165,0.7666262376785924,3.4998612350143725
0.12010239300002468,0.10057830810546875,286.5265197753906,101.31233978271484,102.01176452636719,101.08734893798828,0.9253846950150862,0.9087320811540297,0.0,0.0,0.0,0.0,33.96071243286133,16.83753776550293,-0.08705854415893555,0.0,-0.11317133903503418,-0.13760924339294434,0.0,0.0,0.9253846950150862,0.05198168948450041,0.0,,,,,,1.0,,0.9087320811540297,310.0,286.5265197753906,23.473480224609375,0.187787841796875,0.0198466541975328,-0.1913665771484375,0.9087320811540297,3.96933083950656
0.14008344300009412,0.12058424949645996,288.7925720214844,101.28492736816406,102.47286224365234,101.08734893798828,0.9254501050206354,0.9599784037858656,0.0,0.0,0.0,0.0,33.90064239501953,16.837751388549805,-0.08705854415893555,0.0,-0.11421442031860352,-0.1393139362335205,0.0,0.0,0.9254501050206354,0.052311376809501556,0.0,,,,,,1.0,,0.9599784037858656,310.0,288.7925720214844,21.207427978515625,0.16965942382812502,0.021967396995384362,-0.22660522460937502,0.9599784037858656,4.393479399076872
0.1600981280000724,0.140272855758667,290.83770751953125,101.28263854980469,102.36605072021484,101.08734893798828,0.9255160201903454,0.9521801228295346,0.0,0.0,0.0,0.0,33.810569763183594,16.83797836303711,-0.08705854415893555,0.0,-0.11520981788635254,-0.1409292221069336,0.0,0.0,0.9255160201903454,0.0526416191120012,0.0,,,,,,1.0,,0.9521801228295346,310.0,290.83770751953125,19.16229248046875,0.15329833984375,0.023885033234754532,-0.20436349590803907,0.9521801228295346,4.777006646950906
0.18010949600011372,0.16042661666870117,295.4731750488281,101.292236328125,102.26675415039062,101.08734893798828,0.9255823164614019,1.0,0.0,0.0,0.0,0.0,33.68967819213867,16.838191986083984,-0.08705854415893555,0.0,-0.11604428291320801,-0.14250874519348145,0.0,0.0,0.9255823164614019,0.05297180668400188,0.0,,,,,,1.0,,1.0,310.0,295.4731750488281,14.526824951171875,0.116214599609375,0.025338541434604945,-0.4632834226313065,1.2467302815873267,5.067708286920989
