curr_time,press_pos,press_neg,act_pos_press,act_neg_press,ref_act_pos,ref_act_neg,displacement,displacement_vel,ref_displacement,ctrl_ch_pos,ctrl_ch_neg,ctrl_act_pos_in,ctrl_act_pos_out,ctrl_act_neg_in,ctrl_act_neg_out,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6
0.019999999999999934,137.64414008456174,39.02215224941,107.88166094603757,93.77038391190818,113.0,86.98743396011665,5.323891630608528,0.0,15.247860710055967,0.8649858713150025,0.9209426403045654,0.9750938057899475,0.8818024158477783,0.8695317864418031,1.0,,,,,,
0.019999999999999934,137.64414008456174,39.02215224941,107.88166094603757,93.77038391190818,113.0,86.98743396011665,5.323891630608528,0.0,15.247860710055967,0.8650098443031311,0.9209646105766296,0.975113821029663,0.8818180501461029,0.8695850849151612,0.9796408750116825,,,,,,
0.019999999999999934,137.64414008456174,39.02215224941,107.88166094603757,93.77038391190818,113.0,86.98743396011665,5.323891630608528,0.0,15.247860710055967,0.8639241993427277,0.9199633121490478,0.9741898298263549,0.8811079919338227,0.8671809077262879,0.9798761224374175,,,,,,
0.019999999999999934,137.64414008456174,39.02215224941,107.88166094603757,93.77038391190818,113.0,86.98743396011665,5.323891630608528,0.0,15.247860710055967,0.8640507280826569,0.9200806856155396,0.974299430847168,0.881190973520279,0.8674600958824158,0.9798789951018989,,,,,,
0.019999999999999934,137.64414008456174,39.02215224941,107.88166094603757,93.77038391190818,113.0,86.98743396011665,5.323891630608528,0.0,15.247860710055967,0.8643021583557129,0.9203133940696716,0.9745157122611999,0.8813556849956513,0.8680156946182251,0.9798579187132418,,,,,,
0.04000000000000012,138.6411836422973,37.01243008667606,108.95692760854328,91.74207435580675,113.0,86.98743396011665,4.588428553615007,0.0,15.247860710055967,0.8649284839630127,0.9208900213241578,0.9750458359718323,0.8817649841308594,0.8694042444229126,0.9797649947926402,,,,,,
0.06000000000000069,139.63684872553787,35.26630609931456,108.48884630165293,91.35246897487485,113.0,86.98743396011665,4.25424138098645,0.0,15.247860710055967,0.8655628204345703,0.9161615371704102,0.9691395998001099,0.8805258989334107,0.8666764318943024,0.9784054279327392,,,,,,
0.08000000000000126,140.5593341852984,33.99639192394666,106.19201401645584,91.52783913196645,113.0,86.98743396011665,4.567645492654961,0.0,15.247860710055967,0.8655108571052552,0.917629063129425,0.9710425615310669,0.8809595108032227,0.8677242636680603,0.978349256515503,,,,,,
0.10000000000000184,141.39220928692603,33.170015610890886,105.74007312372581,87.90785797776574,113.0,86.98743396011665,4.578597569892338,0.0,15.247860710055967,0.8662025153636933,0.9220496892929078,0.9760873079299927,0.8825932264328004,0.8722470879554749,0.9808806531131268,,,,,,
0.12000000000000241,142.1399190997931,32.70099693226122,103.53833017506904,86.38764833967839,113.0,86.98743396011665,5.259410112738575,0.0,15.247860710055967,0.8659139692783356,0.9217885851860046,0.9758556604385376,0.8824061393737793,0.8716012239456177,0.9781042337417603,,,,,,
0.1400000000000009,142.8099183175763,32.49453636845363,101.7902378372079,84.46109801704006,113.0,86.98743396011665,6.168168035446079,0.0,15.247860710055967,0.8665256559848786,0.9223410487174988,0.976343822479248,0.8828023910522461,0.8790918678045273,0.977987003326416,,,,,,
0.1599999999999987,143.40806142985613,32.385912812445454,101.31690781796412,81.81205319932103,113.0,86.98743396011665,6.93653956417789,0.0,15.247860710055967,0.868220728635788,0.9238054037094117,0.9774705290794372,0.8837567150592804,0.8964378103613854,0.9777114044991322,,,,,,
0.1799999999999965,143.9402289468049,32.08492053361421,100.97364682102724,82.30499407337946,113.0,86.98743396011665,7.876358746666902,0.0,15.247860710055967,0.8692919850349426,0.9247057318687439,0.9781129360198975,0.8843236863613129,0.9065210610628128,0.9773970853653736,,,,,,
0.1999999999999943,144.4065739446344,31.58087618936565,101.99713710075504,83.12682345005418,113.0,86.98743396011665,8.433751508377481,0.0,15.247860710055967,0.8704614400863648,0.9256751537322998,0.9787864208221435,0.8849354505538941,0.8814854979515075,0.9770488035050221,,,,,,
0.2199999999999921,144.80733364076065,30.972939351182852,104.22331015622501,83.04566661085398,113.0,86.80029001948559,8.483710513536884,0.0,15.370207720961549,0.8706858277320862,0.9258532643318176,0.9788900136947631,0.8850328803062439,0.8819503247737884,0.9769635807839222,,,,,,
0.2399999999999899,145.14319340636743,30.418734284186932,105.79911011863547,83.79446596071688,113.0,86.78799289007794,8.713088378649939,0.0,15.378247078370986,0.8703229069709778,0.9255683064460755,0.9787340641021729,0.8848852992057801,0.8827274773269892,0.977110673126299,,,,,,
0.2599999999999877,145.420136423839,29.972675786063917,106.44871169506472,85.29618408879846,113.0,86.78799289007794,9.311356294996072,0.0,15.378247078370986,0.8693318486213685,0.9247692108154297,0.978246021270752,0.8844352066516876,0.8791400313377381,0.9774682771530934,,,,,,
0.2799999999999855,145.64615026607686,29.61942900667044,107.32387722173307,85.5397311842672,113.0,86.78799289007794,9.847785180027234,0.0,15.378247078370986,0.8697531938552857,0.9251187205314636,0.9784864544868469,0.8846530556678772,0.8800457358360291,0.9773406516877003,,,,,,
0.2999999999999833,145.82919987233223,29.32549691032687,108.33011262829346,85.14259931740219,113.0,86.78799289007794,10.313634634424435,0.0,15.378247078370986,0.870852541923523,0.9242747545242309,0.9773271799087524,0.8845944762229919,0.880906879901886,0.9769654046860523,,,,,,
0.3199999999999811,145.9752216942103,29.06262448090746,108.90920145540396,85.5635262163214,113.0,86.78799289007794,10.953498745544133,0.0,15.378247078370986,0.8711680352687836,0.9219777941703796,0.975048303604126,0.8838058710098267,0.8840059418231249,0.9764428626862355,,,,,,
0.3399999999999789,146.0898300690658,28.82110168508943,109.414051930776,86.04186764003855,113.0,86.78799289007794,11.640326588270263,0.0,15.378247078370986,0.8728786110877991,0.9209701299667359,0.9738032102584839,0.8833828866481781,0.8813645422458649,0.9745292436447925,,,,,,
